person_id, gender, year_of_birth, person_of_color, education_level, city_of_residence, scholarship_recipient, previous_job_experience, pre_training_wage, training_start_date, training_status, training_end_date, training_type, exit_status, classroom_or_online, job_placement_date, hiring_job_title, hiring_company, starting_wage, second_job_title, second_job_company, second_starting_wage
C-1001, Other, 1988, unreported, Bachelors, Robbinsdale, false, , 9.35, 11/08/2017, Graduated, 07/01/2018, QA, Health/Medical, Classroom, 16/08/2018, Junior Developer, Great North Labs, 24.18, , ,
C-1002, Other, 1993, yes, Bachelors, Roseville, true, Manager, 13.13, 01/11/2015, Withdrew, 05/02/2016, UX, Entered Employment, Online, 18/10/2016, Designer, Google, 31.60, , ,
C-1003, Male, 1953, no, Some College, Minneapolis, true, Team Member, 15.64, 17/03/2015, Graduated, 07/08/2015, UX, Enrolled in Additional Training, Classroom, 03/01/2016, Developer, Code 42, 27.10, , ,
C-1004, Male, 1956, yes, Associates, Edina, false, Contractor, 15.49, 02/01/2017, Graduated, 13/06/2017, UX, Enrolled in Additional Training, Classroom, 04/01/2018, Junior Designer, Upsie, 25.95, , ,
C-1005, Female, 1970, no, Associates, Robbinsdale, false, Manager, 11.22, 10/08/2017, Withdrew, 03/12/2017, IT Fundamentals, Entered Employment, Online, , , , , , ,
C-1006, Male, 1964, no, Some College, Eden Prairie, true, Temp, 12.49, 19/04/2017, Removed, 10/01/2018, IT Fundamentals, Entered Military, Online, 11/04/2018, Junior Engineer, Upsie, 29.31, Designer, Foodsby, 28.91
C-1007, Male, 1954, no, Graduate and Beyond, Edina, false, Representative, 14.33, 21/01/2015, Withdrew, 09/04/2015, IT Fundamentals, Entered Military, Classroom, 01/09/2015, Developer, Apple, 27.14, , ,
C-1008, Other, 1993, yes, HS/GED, Plymouth, true, Supervisor, 10.80, 20/10/2017, Removed, 19/04/2018, IT Fundamentals, Institutionalized, Online, 02/03/2019, Temp Designer, Aftercode, 31.38, Developer, Microsoft, 25.69
C-1009, Male, 1995, no, HS/GED, Edina, false, Employee, 13.36, 24/06/2016, Graduated, 12/02/2017, IT Fundamentals, Entered Employment, Classroom, 26/02/2018, Developer, Aftercode, 30.78, , ,
C-1010, Unreported, 1959, yes, HS/GED, Eden Prairie, true, Contractor, 11.33, 10/02/2015, Removed, 18/11/2015, QA, Incarcerated, Classroom, 12/09/2016, Junior Developer, Google, 30.41, , ,
C-1011, Male, 1963, no, Bachelors, Edina, false, Support, 10.91, 03/09/2017, Graduated, 07/12/2017, UX, Incarcerated, Online, 15/07/2018, Temp Developer, Merrill Corporation, 30.32, , ,
C-1012, Other, 1953, yes, HS/GED, Minneapolis, true, Representative, 12.71, 08/07/2016, Removed, 12/01/2017, IT Fundamentals, Incarcerated, Classroom, 15/07/2017, IT Support, Great North Labs, 27.88, , ,
