person_id, gender, year_of_birth, person_of_color, education_level, city_of_residence, scholarship_recipient, previous_job_experience, pre_training_wage, training_start_date, training_status, training_end_date, training_type, exit_status, classroom_or_online, job_placement_date, hiring_job_title, hiring_company, starting_wage, second_job_title, second_job_company, second_starting_wage
S-1001, Female, 1955, no, Graduate and Beyond, Roseville, false, Representative, 14.51, 09/10/2016, Graduated, 27/06/2017, IT Fundamentals, Institutionalized, Online, 01/10/2017, Project Manager, Bite Squad, 28.50, Junior Developer, Apple, 29.48
S-1002, Female, 1984, no, HS/GED, Robbinsdale, true, Employee, 14.01, 06/12/2017, Withdrew, 03/02/2018, IT Fundamentals, Entered Military, Classroom, 04/05/2018, Programmer, Foodsby, 25.74, , ,
S-1003, Other, 1956, unreported, HS/GED, Edina, true, Employee, 11.10, 03/12/2017, Graduated, 11/05/2018, QA, Entered Employment, Online, , , , , , ,
S-1004, Male, 1957, no, Associates, Plymouth, false, Manager, 15.76, 24/11/2016, Removed, 25/02/2017, UX, Institutionalized, Online, 19/02/2018, IT Support, Branch Messenger, 29.99, , ,
S-1005, Other, 1990, yes, Associates, Robbinsdale, false, Contractor, 13.09, 20/11/2015, Removed, 06/07/2016, IT Fundamentals, Enrolled in Additional Training, Classroom, 14/12/2016, Junior Engineer, Merrill Corporation, 26.89, , ,
S-1006, Male, 1982, unreported, Some College, Robbinsdale, true, Supervisor, 10.25, 31/05/2016, Removed, 27/01/2017, UX, Entered Military, Classroom, 02/10/2017, Junior Engineer, Apple, 29.23, Junior Designer, Bright Health, 24.61
S-1007, Male, 1976, unreported, Graduate and Beyond, Brooklyn Center, false, Employee, 14.43, 11/01/2016, Removed, 07/06/2016, QA, Institutionalized, Classroom, 28/07/2017, Web Developer, Microsoft, 24.92, , ,
S-1008, Female, 1998, unreported, Graduate and Beyond, St. Paul, true, Manager, 12.84, 31/05/2017, Graduated, 02/01/2018, UX, Health/Medical, Online, 12/09/2018, Temp Designer, Upsie, 25.78, , ,
S-1009, Unreported, 1991, unreported, Bachelors, Edina, true, Temp, 15.31, 28/10/2017, Withdrew, 06/07/2018, IT Fundamentals, Incarcerated, Classroom, 15/10/2018, Junior Designer, Foodsby, 26.74, , ,
S-1010, Female, 1972, unreported, Graduate and Beyond, Plymouth, false, Manager, 13.60, 18/10/2017, Withdrew, 07/05/2018, QA, Incarcerated, Online, 01/08/2018, Web Developer, Bright Health, 24.52, , ,
S-1011, Unreported, 1957, yes, HS/GED, St. Paul, false, Cashier, 14.67, 16/06/2016, Graduated, 16/02/2017, QA, Enrolled in Additional Training, Online, 28/05/2017, Designer, Apple, 25.76, , ,
S-1012, Unreported, 1960, no, Graduate and Beyond, Roseville, false, Supervisor, 9.50, 02/11/2017, Withdrew, 18/03/2018, IT Fundamentals, Institutionalized, Online, 05/06/2018, Programmer, Google, 31.34, Programmer, Foodsby, 24.51
S-1013, Female, 1985, yes, Some College, Edina, false, Team Member, 9.42, 01/10/2015, Removed, 04/04/2016, IT Fundamentals, Institutionalized, Online, 22/06/2016, Temp Developer, Bite Squad, 27.68, , ,
S-1014, Female, 2001, no, Some College, Brooklyn Center, true, Support, 15.14, 05/09/2015, Removed, 12/04/2016, IT Fundamentals, Entered Employment, Online, 03/08/2016, Junior Designer, Aftercode, 26.77, , ,
S-1015, Female, 1984, yes, Associates, Robbinsdale, false, Supervisor, 14.70, 07/01/2017, Withdrew, 13/05/2017, IT Fundamentals, Enrolled in Additional Training, Classroom, 16/11/2017, Temp Designer, Bind Benefits, 31.53, , ,
S-1016, Female, 1971, no, Bachelors, St. Paul, true, Employee, 15.82, 03/02/2017, Withdrew, 03/05/2017, QA, Enrolled in Additional Training, Online, 27/06/2017, Programmer, Nerdery, 30.68, , ,
S-1017, Unreported, 1966, unreported, Some College, St. Paul, true, Support, 14.06, 22/07/2016, Removed, 16/10/2016, UX, Enrolled in Additional Training, Classroom, 05/03/2017, Web Developer, Nerdery, 26.05, , ,
S-1018, Male, 1988, yes, Associates, Edina, true, Support, 13.29, 29/09/2016, Graduated, 15/02/2017, QA, Incarcerated, Online, 12/06/2017, Temp Developer, Osborn 370, 31.65, , ,
S-1019, Male, 2000, no, Some College, St. Paul, false, Cashier, 11.93, 11/08/2017, Withdrew, 13/12/2017, QA, Entered Employment, Online, , , , , , ,
S-1020, Other, 1966, unreported, Bachelors, St. Paul, true, Employee, 13.46, 05/05/2015, Graduated, 14/08/2015, UX, Enrolled in Additional Training, Classroom, 17/03/2016, Temp Developer, Bite Squad, 24.98, , ,
S-1021, Male, 1970, unreported, Associates, Minneapolis, false, Manager, 14.73, 26/07/2015, Removed, 03/11/2015, IT Fundamentals, Health/Medical, Classroom, 24/05/2016, Programmer, Loup Ventures, 28.09, Temp Developer, Code 42, 28.05
S-1022, Male, 1997, unreported, Some College, Brooklyn Center, true, Manager, 12.03, 16/12/2017, Removed, 03/02/2018, UX, Incarcerated, Online, 24/04/2018, Designer, Foodsby, 25.57, Temp Designer, Microsoft, 26.95
S-1023, Other, 1963, no, HS/GED, Roseville, false, Employee, 15.16, 23/11/2015, Graduated, 19/03/2016, QA, Entered Military, Online, 05/04/2016, Designer, Bind Benefits, 29.66, Temp Designer, Google, 28.79
S-1024, Female, 1951, unreported, Graduate and Beyond, Minneapolis, true, Representative, 14.06, 12/06/2015, Withdrew, 28/10/2015, IT Fundamentals, Entered Employment, Online, 03/06/2016, Junior Designer, Loup Ventures, 28.46, , ,
S-1025, Other, 1997, unreported, HS/GED, St. Paul, false, Manager, 12.24, 22/05/2017, Removed, 07/09/2017, UX, Incarcerated, Classroom, 01/05/2018, Developer, Microsoft, 31.08, , ,
S-1026, Male, 2001, yes, Associates, Brooklyn Center, false, Team Member, 11.09, 04/06/2017, Withdrew, 12/11/2017, UX, Entered Military, Online, , , , , , ,
S-1027, Female, 1973, yes, Bachelors, Minneapolis, false, Team Member, 14.59, 18/07/2015, Graduated, 14/02/2016, UX, Incarcerated, Classroom, 03/05/2016, Programmer, Bite Squad, 31.94, , ,
S-1028, Other, 1985, yes, Associates, St. Paul, true, Support, 10.66, 23/12/2017, Removed, 15/08/2018, IT Fundamentals, Health/Medical, Classroom, 13/09/2018, Project Manager, Code 42, 26.13, , ,
S-1029, Female, 1966, yes, Associates, Minneapolis, false, Contractor, 14.34, 11/09/2015, Removed, 27/12/2015, QA, Institutionalized, Classroom, 06/03/2016, Temp Designer, Aftercode, 24.73, , ,
S-1030, Male, 1963, unreported, Some College, Roseville, false, Temp, 12.35, 13/01/2015, Removed, 27/06/2015, IT Fundamentals, Health/Medical, Online, 01/10/2015, Junior Designer, Aftercode, 28.30, , ,
S-1031, Unreported, 1970, yes, Associates, St. Paul, false, Supervisor, 11.18, 08/07/2017, Withdrew, 23/02/2018, UX, Health/Medical, Online, 10/10/2018, Designer, Loup Ventures, 27.80, , ,
S-1032, Female, 1968, no, Some College, Edina, false, Associate, 9.97, 11/04/2015, Withdrew, 10/01/2016, UX, Entered Military, Online, 27/02/2016, Programmer, Apple, 27.31, , ,
S-1033, Other, 1981, no, Graduate and Beyond, Roseville, false, Supervisor, 9.30, 30/01/2016, Graduated, 22/05/2016, QA, Enrolled in Additional Training, Classroom, 18/02/2017, Temp Developer, Upsie, 29.63, , ,
S-1034, Unreported, 1984, yes, HS/GED, Edina, true, Team Member, 9.80, 16/12/2016, Withdrew, 08/03/2017, QA, Incarcerated, Classroom, 24/10/2017, Designer, Bite Squad, 26.35, , ,
S-1035, Male, 1998, no, Bachelors, Robbinsdale, false, Temp, 14.43, 15/10/2016, Graduated, 15/06/2017, QA, Enrolled in Additional Training, Classroom, 17/03/2018, Programmer, Branch Messenger, 31.49, , ,
S-1036, Unreported, 1975, yes, Graduate and Beyond, Brooklyn Center, true, Support, 13.96, 05/11/2015, Withdrew, 25/04/2016, QA, Enrolled in Additional Training, Online, 14/10/2016, Temp Designer, Branch Messenger, 24.48, , ,
S-1037, Unreported, 1982, unreported, Bachelors, Minneapolis, true, Manager, 9.78, 03/11/2015, Withdrew, 11/07/2016, QA, Health/Medical, Online, 12/04/2017, Junior Engineer, Apple, 30.51, , ,
S-1038, Female, 1976, yes, Associates, St. Paul, true, Cashier, 13.40, 28/02/2016, Removed, 20/04/2016, UX, Entered Military, Online, 06/12/2016, Developer, Bright Health, 24.56, , ,
S-1039, Unreported, 1993, yes, HS/GED, St. Paul, true, Associate, 9.36, 03/04/2015, Withdrew, 10/07/2015, QA, Entered Military, Online, 21/04/2016, Web Developer, Code 42, 27.33, , ,
S-1040, Female, 1976, yes, Some College, Plymouth, true, Contractor, 10.26, 10/01/2015, Removed, 10/06/2015, UX, Entered Employment, Classroom, 24/03/2016, Project Manager, Upsie, 25.31, , ,
S-1041, Male, 1985, unreported, Graduate and Beyond, Minneapolis, false, Support, 14.03, 04/05/2015, Graduated, 11/07/2015, IT Fundamentals, Enrolled in Additional Training, Online, 17/09/2015, Project Manager, Microsoft, 27.07, Temp Designer, Branch Messenger, 27.54
S-1042, Female, 1954, yes, HS/GED, Roseville, false, Associate, 12.00, 16/09/2017, Removed, 17/06/2018, IT Fundamentals, Health/Medical, Classroom, 18/10/2018, Temp Designer, Nerdery, 25.48, Programmer, Branch Messenger, 24.07
S-1043, Unreported, 1966, no, Some College, St. Paul, true, Support, 14.12, 30/12/2016, Removed, 02/03/2017, UX, Incarcerated, Online, 09/01/2018, Programmer, Loup Ventures, 26.16, , ,
S-1044, Female, 1964, yes, HS/GED, St. Paul, true, Supervisor, 14.87, 09/12/2015, Withdrew, 25/08/2016, QA, Enrolled in Additional Training, Classroom, 12/08/2017, Temp Designer, Merrill Corporation, 25.10, , ,
S-1045, Male, 1955, unreported, Graduate and Beyond, Eden Prairie, true, Temp, 9.10, 10/04/2016, Graduated, 11/10/2016, IT Fundamentals, Entered Employment, Online, 17/03/2017, Junior Designer, Upsie, 25.18, , ,
S-1046, Other, 1952, yes, Graduate and Beyond, St. Paul, true, Contractor, 11.97, 25/12/2016, Graduated, 06/03/2017, QA, Health/Medical, Classroom, 21/02/2018, Programmer, Microsoft, 27.27, , ,
S-1047, Male, 1977, unreported, HS/GED, St. Paul, false, Support, 11.28, 25/03/2016, Removed, 08/11/2016, UX, Incarcerated, Classroom, 13/09/2017, Junior Engineer, Merrill Corporation, 24.57, , ,
S-1048, Female, 1984, yes, Bachelors, Edina, false, Associate, 10.78, 24/05/2017, Removed, 20/01/2018, QA, Institutionalized, Classroom, 05/07/2018, Programmer, Apple, 25.01, , ,
S-1049, Male, 1969, no, HS/GED, Eden Prairie, true, Associate, 11.23, 02/07/2016, Graduated, 11/01/2017, QA, Incarcerated, Online, 03/12/2017, Project Manager, Microsoft, 29.15, IT Support, Nerdery, 29.00
S-1050, Female, 1991, no, Some College, Plymouth, true, Cashier, 10.95, 03/01/2016, Graduated, 10/05/2016, QA, Health/Medical, Classroom, 26/03/2017, Designer, Bright Health, 29.83, Designer, Apple, 24.28
S-1051, Other, 1980, unreported, Graduate and Beyond, Plymouth, true, Support, 9.12, 07/05/2017, Removed, 19/02/2018, IT Fundamentals, Institutionalized, Classroom, 27/03/2019, IT Support, Branch Messenger, 30.05, , ,
S-1052, Unreported, 1978, yes, Associates, Eden Prairie, false, Employee, 9.81, 08/10/2017, Withdrew, 02/07/2018, UX, Enrolled in Additional Training, Classroom, , , , , , ,
S-1053, Male, 1989, no, Some College, St. Paul, false, Cashier, 15.63, 12/01/2017, Graduated, 25/03/2017, QA, Enrolled in Additional Training, Classroom, 22/01/2018, Junior Engineer, Bind Benefits, 26.40, , ,
S-1054, Other, 1978, yes, Graduate and Beyond, Minneapolis, true, , 12.76, 13/04/2015, Removed, 02/12/2015, QA, Institutionalized, Classroom, 28/01/2017, Temp Designer, Nerdery, 31.05, Web Developer, Upsie, 25.31
