person_id, gender, year_of_birth, person_of_color, education_level, city_of_residence, scholarship_recipient, previous_job_experience, pre_training_wage, training_start_date, training_status, training_end_date, training_type, exit_status, classroom_or_online, job_placement_date, hiring_job_title, hiring_company, starting_wage, second_job_title, second_job_company, second_starting_wage
P-1001, Female, 1989, no, Some College, Plymouth, false, Supervisor, 13.35, 09/11/2016, Removed, 25/02/2017, IT Fundamentals, Entered Employment, Online, 09/12/2017, Programmer, Apple, 24.31, , ,
P-1002, Unreported, 1975, yes, Associates, Eden Prairie, true, Cashier, 13.41, 16/05/2016, Graduated, 17/02/2017, IT Fundamentals, Enrolled in Additional Training, Online, 27/04/2017, Temp Developer, Code 42, 30.96, , ,
P-1003, Male, 1974, no, Graduate and Beyond, St. Paul, false, Contractor, 12.52, 04/04/2015, Removed, 27/06/2015, IT Fundamentals, Health/Medical, Online, 04/06/2016, Junior Engineer, Code 42, 30.44, , ,
P-1004, Unreported, 1998, unreported, Some College, St. Paul, true, Representative, 15.89, 22/11/2016, Removed, 03/06/2017, QA, Institutionalized, Classroom, 02/02/2018, Temp Developer, Bright Health, 27.14, , ,
P-1005, Female, 1995, yes, Bachelors, Robbinsdale, false, Cashier, 15.08, 20/06/2015, Removed, 05/10/2015, UX, Enrolled in Additional Training, Classroom, 12/12/2015, Junior Engineer, Foodsby, 28.02, , ,
P-1006, Female, 2001, no, Associates, Roseville, true, Temp, 11.64, 12/09/2015, Withdrew, 05/04/2016, UX, Incarcerated, Classroom, 03/09/2016, Junior Engineer, Google, 27.24, , ,
P-1007, Male, 1996, unreported, Some College, Robbinsdale, false, Cashier, 15.81, 12/01/2015, Withdrew, 22/05/2015, QA, Entered Employment, Classroom, 14/11/2015, Junior Engineer, Nerdery, 29.52, , ,
P-1008, Other, 1959, no, HS/GED, St. Paul, true, Cashier, 12.84, 05/08/2017, Removed, 14/03/2018, QA, Incarcerated, Online, 17/05/2018, IT Support, Great North Labs, 25.82, , ,
P-1009, Unreported, 1992, no, HS/GED, St. Paul, true, Representative, 9.32, 01/04/2015, Withdrew, 27/10/2015, QA, Health/Medical, Online, 17/07/2016, Junior Engineer, Microsoft, 26.63, , ,
P-1010, Unreported, 1961, unreported, Some College, Brooklyn Center, true, Manager, 15.29, 09/04/2017, Removed, 03/12/2017, UX, Incarcerated, Online, , , , , , ,
