person_id, gender, year_of_birth, person_of_color, education_level, city_of_residence, scholarship_recipient, previous_job_experience, pre_training_wage, training_start_date, training_status, training_end_date, training_type, exit_status, classroom_or_online, job_placement_date, hiring_job_title, hiring_company, starting_wage, second_job_title, second_job_company, second_starting_wage
M-1001, Other, 1952, unreported, HS/GED, Roseville, false, Supervisor, 11.96, 19/02/2016, Withdrew, 14/10/2016, UX, Entered Employment, Online, 23/11/2016, Designer, Bright Health, 31.55, Junior Developer, Google, 30.02
M-1002, Male, 1979, yes, Graduate and Beyond, Robbinsdale, false, Cashier, 14.50, 10/11/2015, Withdrew, 02/08/2016, UX, Institutionalized, Online, 21/08/2017, Programmer, Google, 24.95, , ,
M-1003, Other, 1961, unreported, Associates, Plymouth, false, , 15.72, 11/08/2016, Withdrew, 06/12/2016, QA, Entered Employment, Online, 17/10/2017, IT Support, Bright Health, 24.23, , ,
M-1004, Female, 1950, yes, Some College, Eden Prairie, false, Representative, 9.93, 29/04/2017, Removed, 27/07/2017, IT Fundamentals, Health/Medical, Online, 25/02/2018, Temp Designer, Apple, 27.50, , ,
M-1005, Female, 1978, unreported, Bachelors, Plymouth, true, Support, 12.82, 09/01/2016, Removed, 15/03/2016, UX, Incarcerated, Online, 20/10/2016, Junior Engineer, Bright Health, 31.82, , ,
M-1006, Other, 1965, no, Bachelors, Eden Prairie, true, , 12.02, 09/09/2016, Removed, 23/02/2017, QA, Institutionalized, Online, 09/06/2017, Developer, Google, 29.74, , ,
M-1007, Unreported, 1967, yes, Bachelors, Plymouth, true, Associate, 15.21, 16/11/2015, Removed, 03/08/2016, UX, Health/Medical, Online, 21/06/2017, Temp Designer, Code 42, 31.74, , ,
M-1008, Female, 1960, no, Bachelors, Robbinsdale, true, Temp, 15.12, 28/03/2015, Graduated, 03/09/2015, UX, Health/Medical, Online, 04/11/2015, Temp Developer, Foodsby, 27.51, , ,
M-1009, Unreported, 1955, unreported, HS/GED, Plymouth, true, Temp, 11.96, 03/09/2016, Graduated, 19/06/2017, IT Fundamentals, Institutionalized, Classroom, 03/04/2018, Junior Engineer, Branch Messenger, 25.59, Junior Engineer, Google, 27.84
M-1010, Male, 1974, yes, Associates, St. Paul, true, Associate, 11.11, 27/09/2015, Graduated, 16/05/2016, QA, Health/Medical, Online, 14/09/2016, Junior Designer, Merrill Corporation, 26.94, , ,
M-1011, Other, 1980, no, Graduate and Beyond, Robbinsdale, false, , 10.08, 03/12/2015, Withdrew, 11/09/2016, UX, Institutionalized, Online, 17/09/2017, Programmer, Google, 25.97, , ,
M-1012, Female, 1958, unreported, Associates, Eden Prairie, false, Contractor, 12.51, 27/08/2017, Withdrew, 18/05/2018, QA, Institutionalized, Classroom, 05/01/2019, Developer, Upsie, 31.27, , ,
M-1013, Other, 1995, no, Associates, Eden Prairie, true, Temp, 13.87, 22/12/2016, Graduated, 11/07/2017, UX, Incarcerated, Online, , , , , , ,
M-1014, Female, 1997, yes, HS/GED, Brooklyn Center, false, Cashier, 14.69, 25/08/2017, Withdrew, 25/04/2018, IT Fundamentals, Entered Military, Classroom, 20/06/2018, Temp Developer, Code 42, 27.50, , ,
M-1015, Female, 1968, yes, Some College, Robbinsdale, true, Supervisor, 11.83, 04/07/2015, Graduated, 22/02/2016, QA, Enrolled in Additional Training, Classroom, 21/01/2017, IT Support, Foodsby, 30.49, , ,
M-1016, Other, 1996, unreported, HS/GED, Brooklyn Center, false, Employee, 11.03, 25/11/2016, Withdrew, 08/06/2017, QA, Institutionalized, Classroom, 23/08/2017, Programmer, Bright Health, 31.43, , ,
M-1017, Female, 1972, unreported, Bachelors, Robbinsdale, false, Manager, 9.83, 21/12/2015, Graduated, 17/05/2016, QA, Entered Employment, Online, 16/01/2017, Junior Engineer, Bind Benefits, 24.48, , ,
M-1018, Female, 1977, yes, Bachelors, Brooklyn Center, true, Support, 10.39, 09/06/2017, Graduated, 23/08/2017, UX, Entered Military, Classroom, 05/01/2018, Designer, Osborn 370, 24.60, Project Manager, Bright Health, 31.92
M-1019, Other, 1970, yes, Graduate and Beyond, Eden Prairie, false, Supervisor, 12.29, 26/01/2015, Withdrew, 10/06/2015, UX, Incarcerated, Classroom, 23/11/2015, Developer, Microsoft, 29.77, Web Developer, Branch Messenger, 25.15
M-1020, Unreported, 1990, no, Some College, Edina, true, Team Member, 14.91, 14/07/2015, Removed, 12/02/2016, IT Fundamentals, Incarcerated, Classroom, 21/01/2017, Designer, Google, 24.04, Project Manager, Upsie, 28.77
M-1021, Male, 1955, yes, Associates, Roseville, false, Employee, 12.29, 05/09/2016, Graduated, 06/06/2017, IT Fundamentals, Entered Employment, Classroom, 11/12/2017, Junior Engineer, Aftercode, 25.50, , ,
M-1022, Female, 1962, no, HS/GED, Edina, true, Cashier, 10.93, 22/08/2016, Withdrew, 27/04/2017, UX, Enrolled in Additional Training, Classroom, 16/04/2018, IT Support, Upsie, 24.99, , ,
M-1023, Male, 1965, yes, HS/GED, Minneapolis, false, Cashier, 15.90, 30/03/2015, Graduated, 05/11/2015, QA, Health/Medical, Classroom, 11/11/2016, Junior Developer, Microsoft, 29.10, , ,
M-1024, Female, 1992, unreported, Associates, Roseville, true, Employee, 12.61, 20/07/2016, Withdrew, 06/01/2017, QA, Entered Military, Classroom, 02/05/2017, Temp Designer, Code 42, 24.63, Temp Designer, Bind Benefits, 27.65
M-1025, Other, 1976, no, Some College, Roseville, false, Representative, 12.93, 29/03/2017, Removed, 24/06/2017, UX, Enrolled in Additional Training, Online, 05/08/2017, Junior Designer, Branch Messenger, 28.65, , ,
M-1026, Other, 1985, no, Associates, Robbinsdale, false, Manager, 12.57, 01/11/2016, Withdrew, 14/07/2017, UX, Enrolled in Additional Training, Online, 07/09/2017, Web Developer, Foodsby, 28.11, , ,
M-1027, Unreported, 1956, no, Graduate and Beyond, Roseville, false, Cashier, 9.89, 24/06/2017, Withdrew, 28/01/2018, UX, Incarcerated, Classroom, 18/08/2018, Temp Designer, Branch Messenger, 26.04, , ,
M-1028, Unreported, 1976, yes, Some College, Brooklyn Center, true, Support, 10.53, 02/10/2017, Removed, 20/02/2018, UX, Incarcerated, Online, 03/10/2018, Programmer, Aftercode, 26.22, , ,
M-1029, Other, 1979, yes, HS/GED, Edina, true, Representative, 11.30, 10/01/2016, Graduated, 27/08/2016, UX, Health/Medical, Online, 26/05/2017, Designer, Apple, 26.64, , ,
M-1030, Unreported, 1951, unreported, Bachelors, Plymouth, true, Cashier, 9.26, 12/05/2017, Withdrew, 13/01/2018, UX, Health/Medical, Classroom, 19/11/2018, Web Developer, Bite Squad, 26.89, , ,
M-1031, Other, 2001, no, Associates, Minneapolis, true, Manager, 13.67, 27/07/2015, Removed, 05/01/2016, QA, Enrolled in Additional Training, Online, 22/10/2016, Temp Developer, Microsoft, 27.87, , ,
M-1032, Male, 2000, unreported, HS/GED, Brooklyn Center, false, Supervisor, 15.68, 17/03/2015, Removed, 25/11/2015, QA, Entered Employment, Classroom, 28/03/2016, Web Developer, Apple, 24.36, , ,
M-1033, Female, 1965, no, Graduate and Beyond, St. Paul, true, Manager, 13.33, 14/01/2015, Graduated, 22/07/2015, IT Fundamentals, Institutionalized, Classroom, 18/10/2015, Junior Engineer, Merrill Corporation, 29.74, , ,
M-1034, Unreported, 1988, yes, Bachelors, Robbinsdale, false, Employee, 11.55, 26/05/2016, Graduated, 15/12/2016, QA, Entered Employment, Classroom, 21/05/2017, Designer, Apple, 25.99, , ,
M-1035, Female, 1984, no, Bachelors, St. Paul, false, , 13.81, 11/11/2017, Removed, 06/04/2018, QA, Institutionalized, Classroom, 17/03/2019, Temp Developer, Microsoft, 29.36, , ,
M-1036, Male, 1955, no, HS/GED, Roseville, true, Representative, 9.46, 27/03/2017, Withdrew, 20/10/2017, IT Fundamentals, Enrolled in Additional Training, Online, 03/03/2018, Temp Developer, Bite Squad, 25.69, , ,
M-1037, Female, 1984, yes, HS/GED, Minneapolis, false, , 14.60, 04/01/2015, Removed, 16/10/2015, UX, Institutionalized, Classroom, 23/10/2016, Web Developer, Nerdery, 27.38, Junior Engineer, Foodsby, 29.21
M-1038, Female, 1963, no, Bachelors, Brooklyn Center, true, Cashier, 10.02, 02/09/2017, Removed, 08/12/2017, IT Fundamentals, Health/Medical, Online, 12/06/2018, Junior Designer, Loup Ventures, 31.88, , ,
M-1039, Unreported, 1967, no, Graduate and Beyond, Roseville, false, Temp, 13.50, 28/07/2016, Graduated, 25/01/2017, IT Fundamentals, Entered Employment, Online, 18/11/2017, Web Developer, Nerdery, 29.39, , ,
M-1040, Other, 2000, yes, Some College, Eden Prairie, false, Supervisor, 10.87, 22/04/2015, Graduated, 16/10/2015, QA, Enrolled in Additional Training, Online, 09/08/2016, Developer, Nerdery, 25.51, , ,
M-1041, Other, 1975, unreported, HS/GED, Robbinsdale, false, Cashier, 12.95, 04/07/2017, Withdrew, 18/01/2018, QA, Health/Medical, Classroom, 24/05/2018, Junior Designer, Merrill Corporation, 26.56, , ,
M-1042, Unreported, 1968, unreported, HS/GED, St. Paul, true, Manager, 10.44, 16/05/2016, Removed, 10/11/2016, QA, Incarcerated, Classroom, 09/05/2017, Temp Designer, Google, 26.69, , ,
M-1043, Female, 1978, unreported, Graduate and Beyond, Minneapolis, false, Representative, 14.68, 16/05/2017, Removed, 04/07/2017, IT Fundamentals, Health/Medical, Online, 11/11/2017, Developer, Great North Labs, 25.20, , ,
