person_id, gender, year_of_birth, person_of_color, education_level, city_of_residence, scholarship_recipient, previous_job_experience, pre_training_wage, training_start_date, training_status, training_end_date, training_type, exit_status, classroom_or_online, job_placement_date, hiring_job_title, hiring_company, starting_wage, second_job_title, second_job_company, second_starting_wage
J-1001, Male, 1985, no, Some College, Edina, true, , 11.69, 17/05/2015, Removed, 21/01/2016, QA, Entered Employment, Classroom, 03/11/2016, Temp Developer, Bite Squad, 25.48, , ,
J-1002, Other, 1958, no, Graduate and Beyond, Robbinsdale, false, , 14.99, 23/07/2015, Removed, 28/12/2015, UX, Enrolled in Additional Training, Classroom, 13/02/2016, Junior Engineer, Great North Labs, 30.82, , ,
J-1003, Unreported, 1975, yes, Graduate and Beyond, Robbinsdale, false, Employee, 12.85, 01/02/2015, Removed, 19/11/2015, UX, Entered Employment, Classroom, 09/08/2016, Programmer, Foodsby, 25.74, , ,
J-1004, Unreported, 1960, no, Some College, Roseville, true, Supervisor, 10.87, 24/09/2015, Graduated, 15/12/2015, UX, Incarcerated, Online, 12/06/2016, Junior Engineer, Great North Labs, 27.13, , ,
J-1005, Unreported, 1955, yes, Some College, Minneapolis, true, Manager, 10.33, 26/05/2015, Removed, 07/11/2015, UX, Incarcerated, Classroom, 27/12/2016, Junior Engineer, Bite Squad, 25.63, Developer, Google, 24.70
J-1006, Other, 1958, yes, Some College, Robbinsdale, true, Cashier, 9.18, 10/10/2016, Withdrew, 19/07/2017, QA, Incarcerated, Classroom, 15/02/2018, IT Support, Google, 31.19, , ,
J-1007, Female, 1959, yes, HS/GED, Minneapolis, true, Temp, 12.68, 06/11/2016, Withdrew, 14/05/2017, QA, Enrolled in Additional Training, Online, 28/02/2018, IT Support, Loup Ventures, 28.96, , ,
J-1008, Female, 1974, yes, Associates, St. Paul, false, , 12.91, 24/01/2016, Graduated, 04/03/2016, IT Fundamentals, Entered Military, Classroom, 03/08/2016, Designer, Bright Health, 30.51, , ,
J-1009, Other, 1983, unreported, HS/GED, Plymouth, true, Contractor, 14.15, 03/02/2017, Graduated, 10/08/2017, QA, Incarcerated, Classroom, 13/11/2017, Temp Designer, Bite Squad, 26.17, , ,
J-1010, Female, 1982, no, Bachelors, Minneapolis, false, , 15.91, 14/01/2017, Graduated, 15/05/2017, IT Fundamentals, Institutionalized, Online, , , , , , ,
J-1011, Other, 1993, unreported, Graduate and Beyond, Brooklyn Center, false, Team Member, 9.74, 10/01/2017, Graduated, 01/07/2017, UX, Enrolled in Additional Training, Classroom, 20/10/2017, Developer, Bright Health, 24.57, , ,
J-1012, Unreported, 1988, unreported, Graduate and Beyond, Robbinsdale, false, Associate, 13.63, 26/06/2016, Removed, 13/10/2016, UX, Incarcerated, Classroom, 14/08/2017, Temp Developer, Bind Benefits, 30.14, Designer, Apple, 25.93
J-1013, Other, 1981, yes, Graduate and Beyond, Minneapolis, true, Manager, 10.35, 15/03/2017, Withdrew, 10/09/2017, IT Fundamentals, Health/Medical, Online, 25/04/2018, Temp Designer, Bite Squad, 26.84, , ,
J-1014, Female, 1955, no, Graduate and Beyond, Eden Prairie, true, Contractor, 15.29, 13/07/2016, Graduated, 27/03/2017, QA, Enrolled in Additional Training, Online, 26/06/2017, Designer, Aftercode, 29.64, , ,
J-1015, Other, 1965, unreported, Associates, Edina, false, Representative, 14.48, 05/12/2015, Removed, 25/08/2016, QA, Institutionalized, Online, 08/01/2017, Junior Engineer, Nerdery, 30.59, , ,
J-1016, Other, 1957, unreported, HS/GED, Eden Prairie, true, Temp, 12.28, 09/01/2016, Graduated, 18/09/2016, UX, Incarcerated, Online, 22/08/2017, Programmer, Bite Squad, 24.79, , ,
J-1017, Male, 1973, no, Graduate and Beyond, Minneapolis, false, Support, 13.42, 18/02/2016, Removed, 01/10/2016, IT Fundamentals, Entered Military, Online, 25/02/2017, Temp Designer, Google, 26.26, , ,
J-1018, Female, 1998, yes, Bachelors, Robbinsdale, true, , 12.93, 02/03/2017, Graduated, 10/05/2017, QA, Enrolled in Additional Training, Online, 16/03/2018, Temp Designer, Google, 27.23, , ,
J-1019, Female, 1997, yes, HS/GED, Robbinsdale, false, Temp, 10.57, 19/12/2016, Graduated, 17/02/2017, IT Fundamentals, Institutionalized, Online, 22/09/2017, Junior Designer, Microsoft, 31.14, , ,
J-1020, Male, 1992, no, HS/GED, Minneapolis, false, Representative, 11.75, 14/10/2017, Removed, 13/03/2018, QA, Institutionalized, Classroom, 09/09/2018, Designer, Foodsby, 28.31, , ,
J-1021, Female, 1972, yes, Some College, Eden Prairie, true, Manager, 15.23, 29/04/2017, Graduated, 24/11/2017, QA, Entered Military, Classroom, 06/02/2018, IT Support, Merrill Corporation, 26.99, , ,
J-1022, Female, 1993, no, HS/GED, Edina, false, Support, 10.08, 24/10/2015, Graduated, 12/03/2016, UX, Enrolled in Additional Training, Classroom, 24/03/2017, Temp Developer, Bite Squad, 30.93, , ,
J-1023, Male, 1980, yes, Associates, Eden Prairie, true, Support, 12.42, 30/08/2016, Removed, 03/02/2017, IT Fundamentals, Incarcerated, Classroom, 28/05/2017, Project Manager, Loup Ventures, 30.45, , ,
J-1024, Female, 1981, unreported, Graduate and Beyond, Robbinsdale, false, Associate, 15.39, 26/10/2017, Removed, 15/02/2018, QA, Incarcerated, Classroom, 03/01/2019, Junior Engineer, Branch Messenger, 26.43, Developer, Code 42, 31.25
J-1025, Male, 1991, unreported, Bachelors, Eden Prairie, false, Team Member, 11.10, 18/11/2016, Graduated, 01/02/2017, UX, Incarcerated, Classroom, 21/01/2018, Junior Engineer, Foodsby, 29.55, , ,
J-1026, Female, 1963, no, Associates, Robbinsdale, true, Support, 11.05, 09/12/2015, Graduated, 28/09/2016, QA, Incarcerated, Online, 05/10/2016, Web Developer, Bright Health, 25.07, , ,
J-1027, Female, 1992, no, Some College, Brooklyn Center, true, Associate, 14.72, 14/06/2015, Removed, 05/08/2015, IT Fundamentals, Institutionalized, Online, 17/07/2016, Junior Developer, Upsie, 25.38, , ,
