person_id, gender, year_of_birth, person_of_color, education_level, city_of_residence, scholarship_recipient, previous_job_experience, pre_training_wage, training_start_date, training_status, training_end_date, training_type, exit_status, classroom_or_online, job_placement_date, hiring_job_title, hiring_company, starting_wage, second_job_title, second_job_company, second_starting_wage
T-1001, Female, 1994, yes, HS/GED, Robbinsdale, true, Temp, 12.85, 11/08/2016, Removed, 27/03/2017, UX, Entered Employment, Online, 02/07/2017, Project Manager, Merrill Corporation, 26.69, , ,
T-1002, Female, 1992, yes, Some College, Brooklyn Center, true, Temp, 12.61, 07/12/2017, Graduated, 20/09/2018, QA, Incarcerated, Online, 06/04/2019, Junior Designer, Foodsby, 27.01, , ,
T-1003, Male, 1962, unreported, HS/GED, Roseville, true, Temp, 15.69, 11/02/2015, Withdrew, 20/11/2015, UX, Institutionalized, Classroom, 18/08/2016, Project Manager, Bright Health, 27.32, Temp Developer, Merrill Corporation, 24.73
T-1004, Unreported, 1975, no, Some College, Plymouth, false, , 13.24, 12/04/2017, Graduated, 23/12/2017, IT Fundamentals, Enrolled in Additional Training, Online, 01/12/2018, Developer, Nerdery, 31.37, Junior Developer, Code 42, 30.23
T-1005, Other, 1999, no, Bachelors, Eden Prairie, true, Representative, 14.12, 09/09/2015, Graduated, 21/01/2016, IT Fundamentals, Institutionalized, Online, 01/10/2016, Temp Designer, Osborn 370, 31.20, , ,
T-1006, Female, 1977, unreported, Bachelors, Roseville, false, , 11.26, 26/08/2017, Removed, 11/02/2018, QA, Institutionalized, Online, , , , , , ,
T-1007, Female, 1973, yes, Some College, Robbinsdale, true, Associate, 13.83, 16/07/2016, Removed, 16/03/2017, QA, Health/Medical, Classroom, 05/09/2017, Developer, Upsie, 25.68, , ,
T-1008, Female, 1963, no, HS/GED, Robbinsdale, false, Contractor, 12.26, 09/07/2017, Removed, 12/12/2017, UX, Enrolled in Additional Training, Online, 09/11/2018, Junior Designer, Bind Benefits, 26.80, , ,
T-1009, Male, 1990, unreported, HS/GED, Brooklyn Center, true, Cashier, 12.94, 22/06/2016, Graduated, 11/11/2016, UX, Entered Military, Online, 07/12/2016, Junior Engineer, Bite Squad, 31.20, , ,
T-1010, Male, 1959, no, Bachelors, Edina, false, Supervisor, 15.85, 09/01/2017, Withdrew, 11/10/2017, UX, Incarcerated, Online, 21/03/2018, Programmer, Branch Messenger, 30.83, , ,
T-1011, Male, 1964, yes, Associates, Roseville, true, Temp, 13.32, 31/03/2016, Withdrew, 22/11/2016, UX, Health/Medical, Online, 12/07/2017, Project Manager, Bind Benefits, 24.62, , ,
