person_id, gender, year_of_birth, person_of_color, education_level, city_of_residence, scholarship_recipient, previous_job_experience, pre_training_wage, training_start_date, training_status, training_end_date, training_type, exit_status, classroom_or_online, job_placement_date, hiring_job_title, hiring_company, starting_wage, second_job_title, second_job_company, second_starting_wage
Y-1001, Unreported, 1955, yes, HS/GED, Plymouth, false, Supervisor, 14.21, 28/11/2016, Withdrew, 16/03/2017, IT Fundamentals, Incarcerated, Classroom, 08/09/2017, IT Support, Foodsby, 30.16, , ,
Y-1002, Other, 1976, unreported, HS/GED, Minneapolis, false, Temp, 9.32, 03/05/2017, Withdrew, 15/10/2017, QA, Enrolled in Additional Training, Classroom, 03/07/2018, Programmer, Apple, 25.67, , ,
Y-1003, Male, 1983, unreported, Bachelors, Minneapolis, true, Temp, 12.86, 05/08/2017, Withdrew, 07/10/2017, QA, Institutionalized, Online, 17/09/2018, Project Manager, Bite Squad, 30.48, , ,
Y-1004, Female, 1983, yes, Graduate and Beyond, Brooklyn Center, false, , 11.73, 22/03/2017, Graduated, 27/09/2017, UX, Institutionalized, Classroom, 16/12/2017, Junior Developer, Bind Benefits, 29.81, , ,
Y-1005, Female, 1953, yes, Some College, Robbinsdale, true, Team Member, 13.39, 10/03/2017, Graduated, 11/06/2017, IT Fundamentals, Enrolled in Additional Training, Classroom, 23/01/2018, Programmer, Merrill Corporation, 29.64, , ,
Y-1006, Female, 1971, yes, Graduate and Beyond, Edina, true, Contractor, 10.93, 17/04/2016, Graduated, 16/09/2016, QA, Institutionalized, Classroom, 07/12/2016, Temp Developer, Foodsby, 24.14, , ,
Y-1007, Male, 1957, no, HS/GED, Edina, false, Associate, 12.35, 06/10/2017, Graduated, 14/01/2018, QA, Entered Employment, Online, 23/04/2018, Web Developer, Upsie, 29.22, , ,
Y-1008, Unreported, 1971, unreported, Associates, Robbinsdale, true, Associate, 11.54, 19/12/2017, Graduated, 07/04/2018, QA, Enrolled in Additional Training, Classroom, , , , , , ,
Y-1009, Other, 1982, no, Some College, Eden Prairie, true, Representative, 12.31, 21/02/2017, Withdrew, 23/05/2017, QA, Enrolled in Additional Training, Online, 18/08/2017, Web Developer, Foodsby, 30.93, , ,
Y-1010, Female, 1978, yes, Some College, Plymouth, true, Contractor, 15.53, 11/11/2017, Removed, 21/04/2018, IT Fundamentals, Institutionalized, Online, 01/03/2019, Developer, Bite Squad, 26.04, , ,
Y-1011, Female, 1970, no, Graduate and Beyond, Plymouth, true, Cashier, 12.23, 10/09/2015, Graduated, 04/03/2016, IT Fundamentals, Incarcerated, Online, 20/09/2016, Junior Designer, Google, 25.23, , ,
Y-1012, Male, 1975, no, Bachelors, Robbinsdale, true, Employee, 14.27, 15/05/2017, Graduated, 21/12/2017, UX, Entered Military, Online, 14/05/2018, Junior Engineer, Bright Health, 27.77, , ,
Y-1013, Male, 1952, no, Graduate and Beyond, Minneapolis, true, Employee, 10.56, 18/03/2017, Withdrew, 04/08/2017, IT Fundamentals, Entered Military, Classroom, 10/09/2017, Web Developer, Bright Health, 25.27, , ,
Y-1014, Male, 1982, yes, Bachelors, St. Paul, true, Temp, 10.42, 31/03/2017, Graduated, 23/11/2017, QA, Incarcerated, Classroom, 04/02/2018, Programmer, Bright Health, 27.25, , ,
Y-1015, Unreported, 1987, yes, Some College, Minneapolis, true, Cashier, 12.74, 22/04/2015, Removed, 01/06/2015, QA, Incarcerated, Online, 11/03/2016, IT Support, Microsoft, 26.90, Web Developer, Apple, 24.46
Y-1016, Unreported, 1962, no, Associates, Brooklyn Center, true, Team Member, 9.72, 24/09/2015, Removed, 03/12/2015, UX, Enrolled in Additional Training, Classroom, 11/11/2016, IT Support, Bright Health, 27.13, Designer, Loup Ventures, 27.83
Y-1017, Female, 1950, unreported, Some College, Edina, true, Support, 14.18, 09/02/2017, Graduated, 03/05/2017, QA, Institutionalized, Online, 20/12/2017, Designer, Branch Messenger, 28.45, , ,
Y-1018, Female, 1980, no, Graduate and Beyond, Edina, false, , 13.21, 21/04/2015, Removed, 06/09/2015, QA, Enrolled in Additional Training, Classroom, 23/12/2015, Designer, Microsoft, 30.88, , ,
Y-1019, Male, 1974, no, Graduate and Beyond, Brooklyn Center, false, Temp, 14.61, 20/05/2017, Withdrew, 10/11/2017, QA, Entered Employment, Online, 11/05/2018, Junior Designer, Branch Messenger, 25.88, , ,
Y-1020, Other, 1970, unreported, HS/GED, St. Paul, true, Representative, 11.23, 25/11/2016, Withdrew, 28/07/2017, IT Fundamentals, Institutionalized, Online, 13/07/2018, Junior Designer, Nerdery, 27.47, , ,
