Person ID,Partner ID,Gender,Birth Year,Person of Color,Education Level,City of Residence,MSP TechHire Scholarship,Previous Job Title,Pre-training Wage (hourly),Entered Training Date,Training Status,Exit Training Date,Training Type,Classroom or Online,Exit Status,Job Placement Date,Hiring Company,Hiring Job Title,Wage at Initial Hire (hourly),2nd Job Placement Date,2nd Job Company,2nd Job Title,2nd Hire Wage
C-8,4,Female,1985,Yes,Some College,Roseville,Yes,Contractor,10.02,13/07/2015,Graduated,01/04/2016,IT Fundamentals,Online,Entered Employment,02/05/2016,Microsoft,Junior Developer,29.13,,,,
C-13,4,Male,1992,Unreported,Bachelors,Minneapolis,No,,,13/09/2017,Withdrew,07/04/2018,UX,Classroom,Entered Employment,18/06/2018,Code 42,Temp Designer,31.18,,,,
C-21,4,Female,1951,Yes,Graduate and Beyond,Plymouth,No,,,16/02/2015,Graduated,07/09/2015,IT Fundamentals,Online,Entered Employment,23/09/2016,Bright Health,Temp Designer,24.60,,,,
C-23,4,Male,1999,Yes,Some College,Brooklyn Center,Yes,Representative,9.14,12/10/2016,Graduated,23/04/2017,UX,Classroom,Enrolled in Additional Training,05/07/2017,Loup Ventures,Project Manager,29.28,,,,
C-26,4,Female,1976,No,Some College,Plymouth,Yes,Cashier,13.64,17/01/2017,Graduated,10/09/2017,UX,Online,Enrolled in Additional Training,28/11/2017,Merrill Corporation,Junior Designer,29.24,,,,
C-28,4,Male,1952,No,Some College,Roseville,No,Manager,9.05,18/03/2015,Graduated,14/10/2015,IT Fundamentals,Online,Enrolled in Additional Training,09/06/2016,Google,Developer,27.75,,,,
C-31,4,Male,2000,Unreported,HS/GED,Brooklyn Center,Yes,Cashier,13.50,28/09/2016,Removed,18/12/2016,IT Fundamentals,Classroom,Enrolled in Additional Training,23/01/2017,Nerdery,Project Manager,27.76,,,,
C-33,4,Male,1969,No,HS/GED,Brooklyn Center,No,Employee,10.32,12/07/2017,Removed,19/02/2018,UX,Classroom,Enrolled in Additional Training,22/03/2018,Loup Ventures,Developer,25.18,,,,
C-34,4,Male,1968,No,Some College,Edina,No,Contractor,12.68,22/12/2017,Graduated,28/05/2018,IT Fundamentals,Classroom,Entered Employment,06/04/2019,Code 42,Temp Developer,26.28,,,,
C-37,4,Female,1965,No,Graduate and Beyond,Eden Prairie,No,Representative,9.89,09/08/2017,Graduated,09/05/2018,UX,Classroom,Entered Military,11/09/2018,Foodsby,Junior Designer,29.85,,,,
