Person ID,Partner ID,Gender,Birth Year,Person of Color,Education Level,City of Residence,MSP TechHire Scholarship,Previous Job Title,Pre-training Wage (hourly),Entered Training Date,Training Status,Exit Training Date,Training Type,Classroom or Online,Exit Status,Job Placement Date,Hiring Company,Hiring Job Title,Wage at Initial Hire (hourly),2nd Job Placement Date,2nd Job Company,2nd Job Title,2nd Hire Wage
S-14,2,Male,1964,No,Bachelors,Robbinsdale,No,Team Member,10.52,31/12/2015,Removed,10/03/2016,UX,Online,Health/Medical,03/10/2016,Aftercode,Junior Engineer,31.42,04/06/2017,Loup Ventures,Temp Designer,25.68
S-18,2,Male,1964,No,HS/GED,Roseville,Yes,Team Member,10.40,20/04/2016,Graduated,17/08/2016,IT Fundamentals,Online,Entered Military,07/08/2017,Apple,IT Support,29.57,03/11/2017,Google,Junior Developer,26.05
S-22,2,Male,1984,No,Some College,Eden Prairie,Yes,Representative,10.57,03/02/2017,Graduated,16/07/2017,UX,Classroom,Entered Employment,06/02/2018,Upsie,Project Manager,27.60,,,,
S-47,2,Male,1995,No,Bachelors,Edina,Yes,Support,11.11,25/02/2017,Graduated,07/06/2017,UX,Online,Institutionalized,25/07/2017,Apple,Web Developer,26.21,,,,
S-50,2,Male,1997,No,Some College,St. Paul,Yes,Manager,10.74,20/06/2015,Graduated,11/12/2015,IT Fundamentals,Online,Incarcerated,26/02/2016,Foodsby,Programmer,25.95,26/09/2016,Apple,Temp Designer,30.40
S-51,2,Male,1977,Unreported,Some College,St. Paul,Yes,Cashier,12.42,11/05/2015,Graduated,09/08/2015,IT Fundamentals,Classroom,Entered Employment,08/12/2015,Aftercode,Temp Developer,31.53,,,,
S-62,2,Male,1958,Yes,Associates,Robbinsdale,Yes,Representative,12.47,17/09/2015,Graduated,01/04/2016,IT Fundamentals,Classroom,Entered Employment,19/12/2016,Bright Health,Web Developer,30.82,,,,
S-66,2,Male,1950,Unreported,Bachelors,Edina,Yes,Team Member,10.47,15/09/2016,Graduated,28/02/2017,UX,Online,Entered Military,02/12/2017,Upsie,Junior Engineer,25.71,,,,
S-70,2,Male,1971,No,Some College,Edina,No,Manager,9.28,03/07/2017,Withdrew,07/09/2017,QA,Online,Entered Employment,21/02/2018,Great North Labs,Junior Designer,28.37,,,,
S-73,2,Female,1992,No,Some College,Plymouth,No,Representative,15.41,15/01/2016,Graduated,17/03/2016,QA,Online,Entered Employment,24/11/2016,Merrill Corporation,Programmer,25.61,,,,
S-76,2,Other,1955,Yes,Some College,Eden Prairie,Yes,Employee,14.92,27/11/2016,Graduated,09/04/2017,QA,Online,Enrolled in Additional Training,10/06/2017,Code 42,Junior Designer,24.35,,,,
S-82,2,Male,1989,Unreported,Associates,Edina,Yes,,,05/03/2015,Withdrew,16/11/2015,UX,Classroom,Entered Employment,04/12/2015,Aftercode,Temp Designer,25.90,,,,
S-92,2,Male,1962,Unreported,Graduate and Beyond,Roseville,No,Supervisor,13.73,02/07/2015,Graduated,27/09/2015,UX,Classroom,Entered Military,09/12/2015,Aftercode,Junior Developer,30.55,,,,
S-97,2,Male,2000,No,Some College,Robbinsdale,No,Representative,15.47,19/09/2015,Graduated,02/03/2016,IT Fundamentals,Online,Institutionalized,11/09/2016,Branch Messenger,Project Manager,31.16,,,,
S-115,2,Unreported,1979,Unreported,Bachelors,Robbinsdale,Yes,,,02/10/2017,Graduated,24/02/2018,IT Fundamentals,Online,Entered Military,14/09/2018,Upsie,Temp Developer,28.50,,,,
S-117,2,Male,1985,Unreported,Bachelors,Roseville,Yes,Employee,15.28,19/11/2015,Graduated,18/03/2016,UX,Online,Entered Employment,23/02/2017,Great North Labs,Junior Designer,31.72,,,,
S-131,2,Male,1991,No,Some College,Brooklyn Center,No,Supervisor,14.62,07/10/2017,Graduated,07/02/2018,UX,Online,Entered Employment,02/02/2019,Microsoft,Developer,27.63,,,,
S-132,2,Female,1965,No,Some College,Edina,No,Temp,11.16,15/08/2015,Graduated,22/03/2016,UX,Classroom,Entered Military,01/11/2016,Loup Ventures,Developer,27.38,,,,
S-135,2,Male,1979,Unreported,Associates,Edina,Yes,Employee,15.57,10/03/2015,Graduated,17/10/2015,QA,Online,Enrolled in Additional Training,22/01/2016,Bind Benefits,Temp Designer,27.74,,,,
S-136,2,Female,1986,Unreported,Associates,Minneapolis,No,Temp,15.55,15/03/2017,Withdrew,24/09/2017,UX,Online,Entered Employment,09/05/2018,Bite Squad,Junior Designer,28.80,,,,
S-139,2,Male,1977,No,Some College,Minneapolis,No,Associate,9.33,30/07/2015,Graduated,27/12/2015,UX,Online,Entered Military,27/09/2016,Bite Squad,Temp Designer,31.01,27/05/2017,Microsoft,Programmer,29.33
S-142,2,Other,1962,Unreported,Bachelors,Plymouth,Yes,Manager,11.21,31/05/2017,Graduated,02/12/2017,IT Fundamentals,Classroom,Entered Military,,,,,,,,
S-149,2,Female,1961,Yes,Some College,Edina,Yes,Supervisor,14.83,31/10/2015,Graduated,05/03/2016,IT Fundamentals,Online,Enrolled in Additional Training,18/11/2016,Code 42,Designer,26.82,,,,
S-157,2,Male,2000,Unreported,Associates,St. Paul,Yes,Employee,11.98,04/08/2017,Graduated,19/05/2018,QA,Online,Entered Employment,19/05/2019,Microsoft,Developer,26.40,,,,
S-172,2,Female,1996,Yes,Associates,Brooklyn Center,Yes,Temp,12.82,17/03/2017,Graduated,20/07/2017,QA,Online,Entered Employment,01/10/2017,Foodsby,Temp Designer,31.78,,,,
S-179,2,Male,1960,Yes,Some College,Eden Prairie,No,Manager,14.43,01/05/2016,Graduated,06/02/2017,UX,Online,Health/Medical,18/11/2017,Osborn 370,Developer,31.74,,,,
S-188,2,Male,1953,No,Some College,Robbinsdale,No,Support,12.96,04/03/2015,Graduated,14/06/2015,UX,Online,Entered Employment,03/02/2016,Google,Temp Developer,29.58,,,,
S-193,2,Unreported,1953,Yes,Some College,Plymouth,No,Manager,14.77,27/02/2016,Graduated,19/11/2016,QA,Online,Entered Employment,22/02/2017,Upsie,Junior Engineer,24.49,18/11/2017,Apple,Programmer,27.26
S-198,2,Unreported,1986,No,Some College,Brooklyn Center,No,,,17/09/2015,Graduated,22/01/2016,UX,Online,Entered Employment,04/03/2016,Osborn 370,Project Manager,31.48,,,,
S-205,2,Female,1978,No,Bachelors,St. Paul,No,Cashier,15.15,08/09/2017,Graduated,24/02/2018,IT Fundamentals,Classroom,Entered Military,07/04/2018,Bite Squad,Temp Developer,31.80,,,,
S-220,2,Male,1960,No,Some College,Eden Prairie,No,Cashier,10.23,30/06/2016,Graduated,17/11/2016,QA,Classroom,Entered Employment,08/09/2017,Branch Messenger,Temp Designer,27.09,,,,
S-232,2,Female,1998,No,Some College,Edina,No,Team Member,14.09,19/10/2017,Graduated,15/06/2018,IT Fundamentals,Classroom,Entered Employment,19/10/2018,Code 42,Junior Engineer,31.60,,,,
S-239,2,Unreported,1970,Unreported,Some College,Eden Prairie,Yes,Support,12.76,02/01/2015,Graduated,28/04/2015,QA,Online,Entered Employment,22/07/2015,Nerdery,Junior Developer,25.40,,,,
S-257,2,Male,1975,Unreported,HS/GED,St. Paul,Yes,,,29/04/2015,Graduated,06/12/2015,UX,Classroom,Entered Employment,20/11/2016,Loup Ventures,Programmer,24.67,,,,
S-262,2,Male,1975,Unreported,Some College,St. Paul,No,Support,14.99,02/03/2016,Graduated,20/09/2016,QA,Classroom,Entered Employment,17/11/2016,Code 42,Temp Designer,27.54,,,,
S-277,2,Unreported,1980,Unreported,HS/GED,Plymouth,Yes,Team Member,9.19,06/06/2017,Removed,19/08/2017,QA,Online,Institutionalized,18/02/2018,Branch Messenger,IT Support,31.02,,,,
S-296,2,Male,1955,No,HS/GED,Plymouth,No,,,07/10/2015,Graduated,18/06/2016,QA,Classroom,Entered Employment,14/09/2016,Branch Messenger,Developer,30.45,,,,
S-307,2,Male,2001,Unreported,Graduate and Beyond,St. Paul,No,Team Member,11.18,24/10/2016,Removed,26/05/2017,UX,Classroom,Entered Employment,04/04/2018,Google,Project Manager,25.77,,,,
S-335,2,Male,2000,Yes,HS/GED,St. Paul,No,Contractor,15.23,30/03/2015,Removed,07/07/2015,IT Fundamentals,Classroom,Entered Military,18/01/2016,Upsie,Junior Designer,31.69,,,,
S-338,2,Male,1955,No,Some College,Plymouth,No,,,02/12/2015,Graduated,08/04/2016,QA,Classroom,Enrolled in Additional Training,05/03/2017,Code 42,Project Manager,31.00,,,,
S-347,2,Male,1958,Unreported,Some College,Minneapolis,Yes,,,06/03/2016,Graduated,10/07/2016,IT Fundamentals,Online,Enrolled in Additional Training,10/11/2016,Upsie,Junior Designer,24.37,,,,
S-348,2,Male,1975,Unreported,Some College,Eden Prairie,Yes,Supervisor,15.19,24/10/2015,Graduated,17/04/2016,IT Fundamentals,Online,Institutionalized,22/04/2017,Great North Labs,Web Developer,26.97,,,,
S-350,2,Male,1985,No,HS/GED,Eden Prairie,Yes,Manager,11.73,03/04/2016,Graduated,13/11/2016,QA,Online,Enrolled in Additional Training,23/10/2017,Branch Messenger,Project Manager,27.59,,,,
S-351,2,Male,1958,Yes,Some College,Roseville,No,,,16/04/2017,Removed,09/09/2017,IT Fundamentals,Classroom,Incarcerated,,,,,,,,
S-353,2,Male,1973,No,Some College,Robbinsdale,No,Supervisor,11.49,27/04/2015,Graduated,15/12/2015,QA,Classroom,Entered Employment,13/12/2016,Great North Labs,Web Developer,29.71,,,,
S-354,2,Female,1991,Unreported,Some College,St. Paul,Yes,Support,10.50,22/05/2017,Graduated,27/01/2018,IT Fundamentals,Classroom,Entered Employment,,,,,,,,
S-360,2,Female,1964,No,HS/GED,Brooklyn Center,Yes,Team Member,12.25,14/02/2015,Graduated,23/06/2015,QA,Online,Entered Employment,24/03/2016,Foodsby,Developer,25.04,,,,
S-362,2,Male,1980,No,HS/GED,Brooklyn Center,No,Temp,15.84,11/06/2017,Graduated,03/03/2018,IT Fundamentals,Online,Entered Employment,09/12/2018,Bite Squad,Temp Developer,29.86,,,,
S-367,2,Male,1985,Yes,Associates,St. Paul,Yes,Support,15.52,27/08/2015,Graduated,02/01/2016,UX,Classroom,Entered Military,28/11/2016,Upsie,Designer,24.45,,,,
S-377,2,Male,1965,Yes,Some College,Eden Prairie,Yes,Support,15.74,05/03/2015,Withdrew,07/11/2015,IT Fundamentals,Classroom,Entered Employment,05/06/2016,Osborn 370,Temp Designer,31.90,14/02/2017,Branch Messenger,Designer,25.68
S-393,2,Female,1972,No,Bachelors,Brooklyn Center,No,Manager,14.31,22/02/2017,Graduated,19/09/2017,QA,Classroom,Entered Employment,,,,,,,,
S-398,2,Female,1956,No,HS/GED,Brooklyn Center,No,Employee,14.14,18/08/2016,Graduated,17/05/2017,UX,Classroom,Entered Employment,20/03/2018,Microsoft,Temp Designer,27.07,27/01/2019,Loup Ventures,Designer,29.36
S-403,2,Male,1995,No,Some College,Eden Prairie,No,,,18/09/2017,Graduated,19/03/2018,UX,Online,Entered Employment,01/10/2018,Apple,Temp Developer,27.75,,,,
S-404,2,Male,1989,No,Some College,Eden Prairie,Yes,Associate,15.43,08/04/2015,Graduated,18/11/2015,IT Fundamentals,Online,Health/Medical,25/05/2016,Upsie,Designer,28.52,09/07/2016,Great North Labs,Junior Engineer,29.85
S-407,2,Male,1955,Unreported,Some College,Robbinsdale,No,Cashier,14.10,14/08/2017,Graduated,17/05/2018,IT Fundamentals,Online,Entered Employment,01/01/2019,Foodsby,Project Manager,27.83,,,,
S-408,2,Male,1984,Yes,HS/GED,Brooklyn Center,No,Associate,9.68,20/02/2017,Graduated,03/04/2017,IT Fundamentals,Classroom,Incarcerated,23/03/2018,Loup Ventures,IT Support,31.21,25/04/2019,Great North Labs,Designer,26.24
S-415,2,Female,1988,Yes,Bachelors,Brooklyn Center,No,Temp,9.62,11/10/2017,Graduated,27/12/2017,IT Fundamentals,Classroom,Health/Medical,15/12/2018,Microsoft,Developer,29.20,,,,
S-419,2,Other,1974,Unreported,Some College,Minneapolis,No,Manager,12.75,25/11/2015,Graduated,26/04/2016,UX,Online,Entered Employment,18/06/2016,Google,Developer,26.91,,,,
