person_id,partner_id,gender,year_of_birth,person_of_color,education_level,city_of_residence,scholarship_recipient,previous_job_experience,pre_training_wage,training_start_date,training_status,training_end_date,training_type,exit_status,classroom_or_online,job_placement_date,hiring_job_title,hiring_company,starting_wage,second_job_placement_date,second_job_title,second_job_company,second_starting_wage
C-1001,4,Unreported,2000,Yes,Graduate and Beyond,Robbinsdale,No,Team Member,13.31,10/12/2015,Withdrew,01/03/2016,UX,Enrolled in Additional Training,Classroom,26/01/2017,Temp Designer,Upsie,31.01,,,,
C-1002,4,Male,1965,Yes,Graduate and Beyond,St. Paul,No,,,18/02/2016,Removed,15/07/2016,QA,Health/Medical,Classroom,09/10/2016,Junior Engineer,Great North Labs,26.80,,,,
C-1003,4,Other,1958,Yes,Graduate and Beyond,Robbinsdale,Yes,Support,14.16,04/02/2017,Graduated,14/09/2017,QA,Health/Medical,Online,20/02/2018,Developer,Osborn 370,27.44,,,,
C-1004,4,Male,1975,Yes,Associates,St. Paul,No,Support,12.87,27/03/2016,Removed,20/12/2016,IT Fundamentals,Health/Medical,Classroom,11/03/2017,IT Support,Branch Messenger,30.94,,,,
C-1005,4,Other,1964,Yes,Graduate and Beyond,Roseville,No,Cashier,11.74,01/11/2015,Withdrew,25/06/2016,IT Fundamentals,Entered Employment,Online,21/06/2017,Designer,Merrill Corporation,28.85,,,,
C-1006,4,Male,1995,No,Bachelors,Robbinsdale,No,Manager,14.81,25/07/2016,Removed,17/04/2017,UX,Entered Military,Classroom,18/01/2018,Junior Developer,Merrill Corporation,24.67,06/08/2018,Junior Engineer,Osborn 370,29.71
C-1007,4,Female,1962,Unreported,Bachelors,Eden Prairie,No,,,30/10/2015,Withdrew,02/03/2016,IT Fundamentals,Institutionalized,Online,27/12/2016,Developer,Upsie,26.78,09/03/2017,Web Developer,Loup Ventures,28.06
C-1008,4,Unreported,1957,Yes,HS/GED,Edina,No,Support,10.52,07/09/2016,Graduated,04/11/2016,UX,Enrolled in Additional Training,Classroom,07/08/2017,IT Support,Loup Ventures,31.46,,,,
C-1009,4,Male,1956,Yes,Graduate and Beyond,Brooklyn Center,No,,,14/01/2015,Graduated,03/04/2015,UX,Entered Employment,Online,15/01/2016,Junior Engineer,Great North Labs,26.31,18/07/2016,Junior Engineer,Great North Labs,27.13
C-1010,4,Female,1980,Yes,HS/GED,Plymouth,No,Manager,15.50,22/09/2016,Graduated,10/06/2017,QA,Entered Military,Classroom,10/01/2018,Web Developer,Merrill Corporation,26.86,,,,
C-1011,4,Male,1982,Yes,Graduate and Beyond,Minneapolis,Yes,Team Member,15.48,26/07/2016,Graduated,15/11/2016,QA,Institutionalized,Online,24/10/2017,Designer,Aftercode,25.76,24/02/2018,Project Manager,Bright Health,28.84
C-1012,4,Unreported,1996,Yes,HS/GED,Plymouth,Yes,Temp,9.10,20/05/2016,Removed,19/02/2017,QA,Entered Employment,Classroom,16/02/2018,Junior Developer,Bind Benefits,28.74,,,,
C-1013,4,Female,1976,Yes,HS/GED,Plymouth,No,Associate,10.49,24/05/2015,Removed,28/01/2016,QA,Enrolled in Additional Training,Classroom,03/07/2016,Junior Engineer,Osborn 370,27.82,09/09/2016,Designer,Foodsby,27.25
C-1014,4,Male,1995,Yes,Graduate and Beyond,Plymouth,Yes,Employee,14.74,12/01/2017,Removed,06/04/2017,QA,Health/Medical,Online,09/03/2018,Junior Developer,Loup Ventures,30.94,,,,
C-1015,4,Female,1985,Yes,Bachelors,Roseville,No,Employee,12.88,28/06/2016,Graduated,05/03/2017,QA,Enrolled in Additional Training,Classroom,24/03/2018,Designer,Branch Messenger,26.53,,,,
C-1016,4,Female,2000,Unreported,Some College,Robbinsdale,No,Temp,14.49,26/12/2016,Removed,05/03/2017,QA,Enrolled in Additional Training,Online,19/05/2017,Junior Engineer,Loup Ventures,28.18,,,,
C-1017,4,Male,1970,No,HS/GED,Brooklyn Center,Yes,Contractor,13.64,16/11/2015,Withdrew,05/06/2016,UX,Health/Medical,Classroom,12/08/2016,Junior Engineer,Osborn 370,27.35,,,,
C-1018,4,Male,1968,Yes,Graduate and Beyond,Roseville,No,Associate,15.43,20/10/2016,Graduated,22/06/2017,IT Fundamentals,Health/Medical,Classroom,22/05/2018,Junior Designer,Bite Squad,29.15,,,,
C-1019,4,Female,1995,Unreported,Graduate and Beyond,St. Paul,Yes,Manager,15.18,27/11/2015,Graduated,04/06/2016,UX,Entered Employment,Online,02/10/2016,Developer,Osborn 370,28.88,,,,
C-1020,4,Female,1960,No,Some College,Brooklyn Center,No,Supervisor,13.79,19/12/2016,Withdrew,01/02/2017,QA,Entered Employment,Online,26/12/2017,Developer,Code 42,28.42,,,,
C-1021,4,Female,1986,Yes,Graduate and Beyond,Robbinsdale,No,Representative,12.92,06/08/2016,Withdrew,17/11/2016,IT Fundamentals,Health/Medical,Online,08/01/2017,Junior Engineer,Upsie,28.77,,,,
C-1022,4,Unreported,1975,Unreported,Graduate and Beyond,Eden Prairie,No,Associate,13.55,08/10/2016,Graduated,07/06/2017,QA,Health/Medical,Online,13/03/2018,IT Support,Great North Labs,27.10,,,,
C-1023,4,Other,1991,Yes,Associates,Roseville,No,Team Member,15.75,24/05/2016,Graduated,15/02/2017,IT Fundamentals,Entered Employment,Classroom,07/03/2017,Temp Developer,Great North Labs,26.81,,,,
C-1024,4,Unreported,1991,Unreported,Graduate and Beyond,Robbinsdale,No,Representative,14.35,21/12/2015,Graduated,01/08/2016,QA,Health/Medical,Classroom,16/03/2017,Web Developer,Microsoft,28.64,,,,
C-1025,4,Female,1955,Yes,Some College,Robbinsdale,No,Contractor,10.65,22/03/2016,Removed,05/06/2016,IT Fundamentals,Health/Medical,Online,20/12/2016,Junior Engineer,Bind Benefits,27.31,,,,
C-1026,4,Male,1995,No,Some College,Robbinsdale,Yes,Team Member,11.13,05/01/2017,Withdrew,11/07/2017,QA,Health/Medical,Online,01/04/2018,Project Manager,Code 42,26.77,,,,
C-1027,4,Unreported,1995,No,Graduate and Beyond,Brooklyn Center,No,Manager,15.42,12/03/2017,Graduated,04/05/2017,QA,Entered Military,Classroom,26/07/2017,Programmer,Nerdery,28.15,,,,
C-1028,4,Other,1965,Unreported,HS/GED,Minneapolis,No,Contractor,14.99,14/06/2015,Withdrew,15/03/2016,IT Fundamentals,Health/Medical,Classroom,20/05/2016,Junior Engineer,Upsie,24.02,,,,
C-1029,4,Female,1957,Unreported,Associates,Minneapolis,Yes,Contractor,13.79,16/08/2015,Withdrew,17/10/2015,IT Fundamentals,Entered Military,Online,08/02/2016,Designer,Nerdery,28.61,,,,
C-1030,4,Male,1988,No,Some College,St. Paul,No,Cashier,12.87,13/08/2015,Withdrew,10/12/2015,IT Fundamentals,Enrolled in Additional Training,Online,20/01/2016,Junior Designer,Bite Squad,31.23,,,,
C-1031,4,Unreported,1997,Yes,Some College,Plymouth,No,Employee,13.52,07/06/2017,Withdrew,10/02/2018,UX,Health/Medical,Online,19/05/2018,Web Developer,Microsoft,26.75,,,,
C-1032,4,Male,1986,Yes,HS/GED,Eden Prairie,Yes,Cashier,13.19,22/02/2016,Removed,17/04/2016,QA,Entered Military,Online,06/02/2017,Designer,Aftercode,26.49,,,,
C-1033,4,Male,1974,Unreported,HS/GED,Eden Prairie,No,,,07/12/2017,Graduated,18/02/2018,IT Fundamentals,Incarcerated,Classroom,10/05/2018,Junior Engineer,Osborn 370,24.35,09/08/2018,Designer,Upsie,26.63
C-1034,4,Unreported,1993,No,Graduate and Beyond,Brooklyn Center,Yes,Employee,14.59,18/10/2017,Removed,08/07/2018,IT Fundamentals,Institutionalized,Online,18/05/2019,Junior Engineer,Branch Messenger,25.73,,,,
C-1035,4,Male,1962,Yes,Associates,Eden Prairie,Yes,Representative,9.10,30/06/2016,Graduated,20/03/2017,UX,Entered Employment,Online,26/04/2017,Junior Engineer,Code 42,30.33,,,,
C-1036,4,Unreported,1974,Yes,HS/GED,Eden Prairie,No,Supervisor,9.49,29/09/2017,Withdrew,15/02/2018,IT Fundamentals,Enrolled in Additional Training,Classroom,18/01/2019,IT Support,Branch Messenger,25.53,,,,
C-1037,4,Female,1976,Yes,Bachelors,St. Paul,Yes,,,01/05/2016,Withdrew,16/08/2016,QA,Entered Military,Classroom,26/09/2016,Developer,Microsoft,24.39,,,,
