person_id,partner_id,gender,year_of_birth,person_of_color,education_level,city_of_residence,scholarship_recipient,previous_job_experience,pre_training_wage,training_start_date,training_status,training_end_date,training_type,exit_status,classroom_or_online,job_placement_date,hiring_job_title,hiring_company,starting_wage,second_job_placement_date,second_job_title,second_job_company,second_starting_wage
S-1001,2,Unreported,1952,Yes,Bachelors,Edina,No,Support,10.53,22/12/2016,Withdrew,20/07/2017,UX,Health/Medical,Classroom,11/12/2017,Temp Designer,Apple,31.80,,,,
S-1002,2,Female,1950,No,Bachelors,Plymouth,Yes,Team Member,9.85,21/02/2015,Removed,05/11/2015,IT Fundamentals,Incarcerated,Classroom,13/01/2016,Temp Developer,Google,29.62,,,,
S-1003,2,Male,1973,Yes,Some College,Robbinsdale,Yes,Cashier,13.71,09/06/2017,Withdrew,14/01/2018,IT Fundamentals,Entered Military,Online,,,,,,,,
S-1004,2,Female,1961,No,Some College,Eden Prairie,Yes,,,14/10/2017,Removed,03/03/2018,QA,Enrolled in Additional Training,Classroom,05/09/2018,IT Support,Aftercode,25.31,,,,
S-1005,2,Unreported,1987,Yes,Bachelors,Plymouth,Yes,Representative,9.42,10/08/2015,Graduated,28/04/2016,UX,Health/Medical,Classroom,26/05/2016,Web Developer,Foodsby,31.58,,,,
S-1006,2,Unreported,1987,No,HS/GED,Eden Prairie,No,Representative,12.63,05/06/2015,Removed,15/02/2016,UX,Entered Military,Online,20/05/2016,IT Support,Google,27.24,27/11/2016,Designer,Aftercode,28.41
S-1007,2,Other,1956,No,HS/GED,Brooklyn Center,No,Supervisor,11.31,29/05/2015,Graduated,19/11/2015,QA,Institutionalized,Classroom,15/10/2016,Project Manager,Loup Ventures,25.95,,,,
S-1008,2,Other,1952,No,Associates,Plymouth,Yes,Temp,11.22,31/10/2016,Removed,22/12/2016,QA,Institutionalized,Classroom,03/02/2017,Developer,Aftercode,29.68,,,,
S-1009,2,Male,1991,No,Associates,St. Paul,Yes,Representative,11.94,26/12/2016,Withdrew,19/08/2017,IT Fundamentals,Incarcerated,Online,02/01/2018,Programmer,Bind Benefits,26.97,15/02/2018,Junior Designer,Bright Health,25.21
S-1010,2,Unreported,1975,Unreported,Bachelors,Plymouth,Yes,Temp,12.78,07/10/2015,Graduated,22/07/2016,QA,Incarcerated,Online,23/01/2017,Temp Designer,Great North Labs,30.43,,,,
S-1011,2,Other,1990,Yes,HS/GED,St. Paul,No,Associate,14.18,17/05/2017,Removed,04/12/2017,UX,Entered Employment,Classroom,16/08/2018,Junior Designer,Foodsby,28.75,,,,
S-1012,2,Other,1957,Unreported,Some College,Robbinsdale,Yes,Temp,12.54,20/06/2016,Withdrew,20/12/2016,QA,Institutionalized,Classroom,13/03/2017,Developer,Code 42,29.99,,,,
S-1013,2,Unreported,1956,Unreported,Some College,Eden Prairie,No,Temp,11.79,20/07/2017,Removed,05/09/2017,IT Fundamentals,Institutionalized,Online,,,,,,,,
S-1014,2,Female,1990,No,Graduate and Beyond,Minneapolis,Yes,Temp,13.82,24/07/2015,Graduated,27/10/2015,UX,Incarcerated,Online,03/05/2016,Junior Engineer,Osborn 370,26.19,,,,
S-1015,2,Other,1990,Yes,Graduate and Beyond,Plymouth,Yes,Contractor,12.40,09/01/2017,Removed,11/05/2017,IT Fundamentals,Enrolled in Additional Training,Classroom,24/03/2018,Junior Designer,Code 42,24.23,,,,
S-1016,2,Female,1981,Unreported,Graduate and Beyond,Edina,Yes,Temp,9.43,05/08/2016,Withdrew,19/05/2017,UX,Health/Medical,Online,12/11/2017,Junior Designer,Great North Labs,28.96,,,,
S-1017,2,Male,1985,No,Associates,Brooklyn Center,No,Support,11.69,29/07/2015,Withdrew,20/03/2016,QA,Entered Employment,Classroom,12/11/2016,Junior Developer,Bright Health,26.49,,,,
S-1018,2,Other,1952,Unreported,Bachelors,St. Paul,Yes,Cashier,10.37,31/05/2016,Withdrew,01/01/2017,IT Fundamentals,Entered Military,Online,02/03/2017,Web Developer,Bite Squad,24.81,24/03/2018,Web Developer,Apple,28.58
S-1019,2,Other,1974,Unreported,Bachelors,Robbinsdale,No,Employee,15.33,29/10/2017,Withdrew,21/02/2018,IT Fundamentals,Enrolled in Additional Training,Online,25/03/2018,Junior Engineer,Microsoft,30.67,,,,
S-1020,2,Other,1969,Yes,Some College,Edina,No,Temp,14.57,31/05/2015,Graduated,17/08/2015,QA,Institutionalized,Classroom,27/11/2015,Project Manager,Loup Ventures,28.12,,,,
S-1021,2,Female,1986,No,HS/GED,Roseville,No,Associate,10.46,31/12/2016,Withdrew,26/06/2017,UX,Entered Employment,Online,26/11/2017,Temp Designer,Apple,26.65,12/05/2018,Web Developer,Foodsby,27.53
S-1022,2,Male,1983,Unreported,Associates,Robbinsdale,No,Support,9.65,03/12/2017,Removed,14/06/2018,IT Fundamentals,Entered Military,Online,10/03/2019,Temp Developer,Loup Ventures,25.93,,,,
S-1023,2,Female,1994,Unreported,Graduate and Beyond,Roseville,Yes,Team Member,10.07,14/07/2015,Withdrew,18/03/2016,UX,Incarcerated,Online,01/04/2016,Temp Designer,Loup Ventures,30.38,,,,
S-1024,2,Male,2000,Yes,HS/GED,Eden Prairie,Yes,,,01/02/2015,Removed,23/05/2015,IT Fundamentals,Incarcerated,Online,11/08/2015,Programmer,Aftercode,31.12,,,,
S-1025,2,Male,1977,No,Associates,Eden Prairie,No,Temp,10.20,12/11/2017,Graduated,26/01/2018,IT Fundamentals,Institutionalized,Classroom,04/08/2018,IT Support,Merrill Corporation,31.88,,,,
S-1026,2,Unreported,1955,No,Bachelors,St. Paul,Yes,Team Member,13.83,27/10/2016,Removed,04/04/2017,QA,Enrolled in Additional Training,Online,19/11/2017,Temp Developer,Upsie,24.08,27/09/2018,Junior Engineer,Code 42,27.70
S-1027,2,Male,1961,Yes,Graduate and Beyond,Roseville,No,Representative,15.50,24/04/2017,Removed,10/12/2017,UX,Entered Military,Classroom,,,,,,,,
S-1028,2,Male,1960,No,Some College,Minneapolis,No,Team Member,9.78,23/07/2015,Graduated,28/02/2016,IT Fundamentals,Entered Employment,Classroom,15/10/2016,Junior Engineer,Nerdery,31.71,,,,
