person_id,partner_id,gender,year_of_birth,person_of_color,education_level,city_of_residence,scholarship_recipient,previous_job_experience,pre_training_wage,training_start_date,training_status,training_end_date,training_type,exit_status,classroom_or_online,job_placement_date,hiring_job_title,hiring_company,starting_wage,second_job_placement_date,second_job_title,second_job_company,second_starting_wage
P-1001,3,Other,1974,No,Associates,Edina,No,Contractor,9.46,09/10/2017,Withdrew,01/02/2018,IT Fundamentals,Health/Medical,Classroom,17/01/2019,IT Support,Branch Messenger,26.91,,,,
P-1002,3,Female,1968,Unreported,Bachelors,Plymouth,No,,,20/02/2016,Withdrew,26/10/2016,UX,Entered Military,Classroom,01/09/2017,Junior Engineer,Code 42,25.03,,,,
P-1003,3,Unreported,1966,No,Graduate and Beyond,Minneapolis,Yes,Associate,13.48,15/07/2017,Graduated,08/03/2018,IT Fundamentals,Entered Employment,Classroom,14/11/2018,Junior Engineer,Bright Health,25.10,,,,
P-1004,3,Unreported,1956,No,Graduate and Beyond,Brooklyn Center,No,Support,10.79,08/09/2017,Graduated,03/02/2018,UX,Institutionalized,Online,03/05/2018,Junior Developer,Aftercode,29.79,,,,
P-1005,3,Female,1984,Unreported,HS/GED,Eden Prairie,Yes,Temp,9.03,21/11/2015,Graduated,08/03/2016,IT Fundamentals,Enrolled in Additional Training,Classroom,12/11/2016,Junior Engineer,Microsoft,24.08,,,,
P-1006,3,Female,1979,Yes,Graduate and Beyond,Brooklyn Center,No,Associate,12.91,28/04/2015,Withdrew,21/09/2015,UX,Incarcerated,Online,20/07/2016,Designer,Branch Messenger,26.59,,,,
P-1007,3,Unreported,1993,No,HS/GED,Minneapolis,No,Employee,13.63,26/11/2016,Removed,06/07/2017,QA,Institutionalized,Classroom,18/08/2017,Temp Designer,Osborn 370,25.53,,,,
P-1008,3,Other,1963,Yes,HS/GED,Minneapolis,Yes,Cashier,13.06,09/07/2015,Removed,24/12/2015,IT Fundamentals,Institutionalized,Online,25/11/2016,Temp Developer,Upsie,28.65,,,,
P-1009,3,Other,1959,No,HS/GED,St. Paul,Yes,Supervisor,14.33,12/02/2016,Removed,21/05/2016,QA,Health/Medical,Online,04/07/2016,Junior Developer,Bind Benefits,27.73,28/06/2017,Developer,Code 42,26.50
P-1010,3,Other,1998,Unreported,HS/GED,Roseville,No,Cashier,14.62,29/01/2016,Graduated,07/10/2016,QA,Enrolled in Additional Training,Classroom,12/02/2017,Junior Engineer,Microsoft,30.57,,,,
