person_id,partner_id,gender,year_of_birth,person_of_color,education_level,city_of_residence,scholarship_recipient,previous_job_experience,pre_training_wage,training_start_date,training_status,training_end_date,training_type,exit_status,classroom_or_online,job_placement_date,hiring_job_title,hiring_company,starting_wage,second_job_placement_date,second_job_title,second_job_company,second_starting_wage
M-1001,6,Female,1961,Yes,Graduate and Beyond,Edina,No,Cashier,15.27,09/02/2016,Removed,14/07/2016,QA,Health/Medical,Classroom,06/01/2017,Junior Engineer,Loup Ventures,31.22,,,,
M-1002,6,Unreported,1992,Unreported,Graduate and Beyond,Edina,Yes,Associate,15.06,06/09/2015,Graduated,16/12/2015,IT Fundamentals,Incarcerated,Online,18/09/2016,IT Support,Bind Benefits,26.58,,,,
M-1003,6,Other,1962,Unreported,Associates,Brooklyn Center,No,Temp,13.91,02/10/2017,Removed,15/03/2018,IT Fundamentals,Entered Employment,Classroom,05/05/2018,Temp Designer,Code 42,27.32,,,,
M-1004,6,Male,1999,No,Bachelors,St. Paul,Yes,Cashier,11.12,23/08/2016,Graduated,13/11/2016,QA,Enrolled in Additional Training,Classroom,21/03/2017,Designer,Great North Labs,25.01,,,,
M-1005,6,Other,1959,No,Associates,Roseville,Yes,Representative,13.08,02/06/2015,Removed,23/01/2016,QA,Entered Employment,Classroom,02/07/2016,Developer,Loup Ventures,31.70,13/11/2016,Developer,Osborn 370,27.02
M-1006,6,Female,1969,Unreported,Some College,Plymouth,Yes,Team Member,9.84,03/05/2017,Removed,03/08/2017,UX,Incarcerated,Classroom,24/11/2017,IT Support,Code 42,25.73,12/05/2018,Web Developer,Bite Squad,30.35
M-1007,6,Other,1954,No,HS/GED,Minneapolis,No,Representative,14.43,21/04/2016,Withdrew,15/01/2017,QA,Incarcerated,Classroom,20/01/2018,Project Manager,Aftercode,29.63,,,,
M-1008,6,Unreported,2001,Unreported,Bachelors,Minneapolis,Yes,Team Member,14.04,13/02/2015,Graduated,28/07/2015,UX,Entered Military,Online,16/06/2016,Designer,Aftercode,31.09,,,,
M-1009,6,Other,1980,No,Associates,Eden Prairie,Yes,Temp,9.61,27/03/2015,Removed,12/07/2015,IT Fundamentals,Institutionalized,Online,03/11/2015,Temp Designer,Osborn 370,25.31,,,,
M-1010,6,Unreported,1985,Unreported,Some College,Minneapolis,No,Cashier,14.51,21/05/2015,Removed,19/10/2015,QA,Enrolled in Additional Training,Online,20/09/2016,Temp Designer,Loup Ventures,28.20,19/04/2017,Web Developer,Great North Labs,26.06
M-1011,6,Male,1968,Unreported,Some College,Roseville,Yes,Temp,12.13,18/01/2016,Removed,23/10/2016,QA,Health/Medical,Online,17/07/2017,Web Developer,Apple,25.25,,,,
M-1012,6,Unreported,1977,No,Some College,Plymouth,No,Team Member,11.37,22/02/2017,Graduated,23/06/2017,UX,Institutionalized,Online,21/09/2017,Project Manager,Merrill Corporation,30.43,,,,
M-1013,6,Female,1975,Unreported,Some College,Roseville,Yes,,,05/01/2015,Removed,22/03/2015,IT Fundamentals,Incarcerated,Classroom,28/05/2015,Junior Developer,Google,24.88,,,,
M-1014,6,Female,1962,No,Graduate and Beyond,Edina,No,Cashier,10.82,18/09/2017,Removed,12/11/2017,UX,Institutionalized,Classroom,03/09/2018,Temp Designer,Microsoft,28.46,,,,
M-1015,6,Male,1950,Unreported,Graduate and Beyond,Brooklyn Center,No,Employee,14.54,26/12/2017,Removed,01/07/2018,IT Fundamentals,Enrolled in Additional Training,Classroom,17/05/2019,Project Manager,Merrill Corporation,30.73,,,,
M-1016,6,Male,1991,Yes,HS/GED,Plymouth,Yes,Employee,14.70,02/09/2017,Removed,23/05/2018,QA,Enrolled in Additional Training,Classroom,,,,,,,,
M-1017,6,Other,1956,Unreported,Bachelors,Edina,No,Manager,14.37,01/10/2015,Graduated,28/05/2016,UX,Entered Employment,Classroom,17/10/2016,Programmer,Foodsby,25.54,,,,
M-1018,6,Other,1962,Unreported,Bachelors,Plymouth,Yes,Cashier,15.69,13/04/2016,Graduated,12/12/2016,IT Fundamentals,Incarcerated,Classroom,12/02/2017,Developer,Bite Squad,30.77,,,,
M-1019,6,Female,1988,No,HS/GED,Brooklyn Center,Yes,Manager,12.56,30/12/2017,Removed,01/02/2018,QA,Incarcerated,Online,,,,,,,,
