person_id,partner_id,gender,year_of_birth,person_of_color,education_level,city_of_residence,scholarship_recipient,previous_job_experience,pre_training_wage,training_start_date,training_status,training_end_date,training_type,exit_status,classroom_or_online,job_placement_date,hiring_job_title,hiring_company,starting_wage,second_job_placement_date,second_job_title,second_job_company,second_starting_wage
J-1001,5,Male,1982,No,Some College,Brooklyn Center,Yes,Temp,15.43,11/08/2015,Removed,11/11/2015,IT Fundamentals,Institutionalized,Online,06/02/2016,Designer,Osborn 370,30.01,,,,
J-1002,5,Female,1998,Unreported,Bachelors,St. Paul,No,Representative,11.23,24/04/2016,Removed,12/10/2016,QA,Institutionalized,Online,22/10/2017,Developer,Osborn 370,31.89,,,,
J-1003,5,Unreported,1971,Unreported,Some College,Edina,Yes,Team Member,13.25,12/07/2017,Removed,12/03/2018,UX,Health/Medical,Classroom,04/08/2018,Programmer,Foodsby,29.52,,,,
J-1004,5,Other,1990,Yes,Graduate and Beyond,Plymouth,No,Manager,13.01,02/05/2017,Removed,28/01/2018,UX,Enrolled in Additional Training,Classroom,16/08/2018,Junior Developer,Google,27.97,,,,
J-1005,5,Male,1996,Unreported,HS/GED,Minneapolis,No,,,16/03/2015,Graduated,04/05/2015,QA,Incarcerated,Classroom,20/09/2015,Programmer,Great North Labs,28.10,,,,
J-1006,5,Other,1959,No,Some College,Minneapolis,Yes,Contractor,13.23,04/07/2016,Removed,12/09/2016,IT Fundamentals,Institutionalized,Online,03/05/2017,Junior Designer,Microsoft,25.16,20/09/2017,Project Manager,Bright Health,28.06
J-1007,5,Other,1981,Unreported,Graduate and Beyond,Plymouth,No,Associate,12.11,09/03/2017,Removed,26/06/2017,IT Fundamentals,Incarcerated,Classroom,,,,,,,,
J-1008,5,Other,1952,Yes,HS/GED,Eden Prairie,No,Support,9.52,28/05/2015,Withdrew,21/12/2015,IT Fundamentals,Entered Employment,Classroom,01/01/2016,Designer,Google,28.57,,,,
J-1009,5,Female,1979,Unreported,Graduate and Beyond,Plymouth,Yes,Temp,13.47,06/01/2016,Graduated,13/08/2016,UX,Institutionalized,Classroom,01/10/2016,Junior Designer,Aftercode,29.18,17/01/2017,Junior Developer,Great North Labs,31.07
J-1010,5,Male,1987,No,Graduate and Beyond,Edina,Yes,Support,13.64,27/06/2015,Withdrew,22/10/2015,UX,Entered Military,Online,17/11/2015,Temp Developer,Bright Health,31.29,,,,
J-1011,5,Female,1968,Unreported,Associates,Brooklyn Center,No,Employee,9.76,03/08/2015,Graduated,04/10/2015,IT Fundamentals,Entered Military,Online,09/08/2016,Junior Developer,Apple,30.30,,,,
