person_id,partner_id,gender,year_of_birth,person_of_color,education_level,city_of_residence,scholarship_recipient,previous_job_experience,pre_training_wage,training_start_date,training_status,training_end_date,training_type,exit_status,classroom_or_online,job_placement_date,hiring_job_title,hiring_company,starting_wage,second_job_placement_date,second_job_title,second_job_company,second_starting_wage
T-1001,7,Male,1999,Yes,Bachelors,Edina,Yes,Contractor,15.31,09/04/2015,Removed,16/01/2016,QA,Health/Medical,Classroom,19/05/2016,Junior Developer,Bright Health,30.90,,,,
T-1002,7,Male,1959,Unreported,Graduate and Beyond,Brooklyn Center,Yes,Supervisor,15.17,16/03/2017,Removed,09/06/2017,IT Fundamentals,Entered Employment,Classroom,26/05/2018,Web Developer,Great North Labs,30.34,,,,
T-1003,7,Male,1979,Unreported,Bachelors,Brooklyn Center,Yes,Temp,15.52,07/05/2017,Graduated,13/12/2017,IT Fundamentals,Entered Employment,Online,02/01/2018,Junior Engineer,Bite Squad,24.44,,,,
T-1004,7,Unreported,1997,No,Some College,Plymouth,Yes,Supervisor,11.34,12/02/2016,Graduated,23/05/2016,QA,Health/Medical,Online,25/09/2016,Temp Designer,Bind Benefits,25.58,,,,
T-1005,7,Female,1959,No,HS/GED,Minneapolis,Yes,,,30/04/2015,Graduated,15/12/2015,QA,Incarcerated,Online,12/08/2016,Developer,Great North Labs,30.07,,,,
T-1006,7,Unreported,1950,Yes,HS/GED,St. Paul,Yes,Team Member,9.36,21/07/2015,Withdrew,07/01/2016,UX,Enrolled in Additional Training,Classroom,15/08/2016,Project Manager,Bite Squad,28.53,,,,
T-1007,7,Female,1953,Yes,Bachelors,Robbinsdale,Yes,,,03/10/2015,Withdrew,04/12/2015,QA,Entered Employment,Classroom,02/01/2016,Junior Developer,Nerdery,28.98,,,,
T-1008,7,Other,1967,Yes,Associates,Plymouth,Yes,Team Member,14.08,08/03/2015,Withdrew,14/10/2015,QA,Entered Military,Classroom,17/12/2015,Programmer,Google,28.68,12/08/2016,Junior Engineer,Bind Benefits,27.86
T-1009,7,Unreported,1972,Unreported,Bachelors,St. Paul,Yes,Representative,11.64,27/06/2017,Withdrew,01/02/2018,QA,Entered Military,Online,22/01/2019,Temp Designer,Foodsby,28.46,,,,
T-1010,7,Unreported,1999,Yes,Graduate and Beyond,St. Paul,No,Cashier,12.37,12/12/2017,Withdrew,05/09/2018,IT Fundamentals,Incarcerated,Classroom,04/10/2018,Temp Developer,Apple,25.47,,,,
T-1011,7,Female,1987,Unreported,Bachelors,Roseville,No,Temp,12.03,28/08/2015,Graduated,17/10/2015,UX,Enrolled in Additional Training,Online,09/07/2016,Junior Designer,Bite Squad,30.16,,,,
T-1012,7,Male,1977,No,HS/GED,Eden Prairie,Yes,Manager,15.44,05/11/2015,Withdrew,03/04/2016,QA,Enrolled in Additional Training,Classroom,21/03/2017,Developer,Branch Messenger,29.29,,,,
T-1013,7,Other,1988,Yes,Associates,Edina,Yes,Support,9.04,07/11/2017,Removed,10/01/2018,IT Fundamentals,Entered Employment,Online,11/04/2018,Developer,Great North Labs,29.37,,,,
T-1014,7,Unreported,1963,No,Graduate and Beyond,Eden Prairie,No,Associate,12.64,26/11/2017,Withdrew,05/01/2018,UX,Entered Employment,Online,,,,,,,,
T-1015,7,Male,1961,Yes,HS/GED,Plymouth,Yes,Representative,14.17,23/09/2017,Graduated,19/03/2018,QA,Health/Medical,Online,18/04/2018,Temp Designer,Loup Ventures,24.83,,,,
T-1016,7,Other,1956,No,Graduate and Beyond,St. Paul,Yes,Supervisor,10.80,06/06/2017,Withdrew,01/02/2018,QA,Health/Medical,Classroom,20/04/2018,Temp Developer,Branch Messenger,26.76,,,,
T-1017,7,Unreported,1958,Yes,Associates,Plymouth,No,Representative,13.96,22/12/2016,Graduated,06/04/2017,UX,Incarcerated,Classroom,05/09/2017,Junior Engineer,Branch Messenger,24.03,13/06/2018,Developer,Loup Ventures,27.27
T-1018,7,Unreported,1961,Unreported,Bachelors,Roseville,Yes,Manager,14.43,14/09/2016,Removed,15/02/2017,IT Fundamentals,Enrolled in Additional Training,Classroom,10/11/2017,IT Support,Bind Benefits,31.20,,,,
T-1019,7,Female,1989,No,Some College,Brooklyn Center,Yes,Representative,12.31,17/03/2015,Removed,17/12/2015,IT Fundamentals,Incarcerated,Online,28/11/2016,Junior Designer,Microsoft,25.60,,,,
T-1020,7,Other,1995,Yes,Some College,Minneapolis,Yes,,,15/05/2015,Removed,19/02/2016,UX,Entered Employment,Classroom,18/06/2016,Web Developer,Microsoft,29.85,,,,
T-1021,7,Other,1980,Yes,Bachelors,Plymouth,No,Employee,11.93,27/12/2015,Graduated,03/07/2016,IT Fundamentals,Institutionalized,Classroom,14/06/2017,IT Support,Apple,24.22,,,,
T-1022,7,Male,1979,No,Bachelors,Minneapolis,Yes,Team Member,9.62,12/06/2017,Graduated,28/09/2017,IT Fundamentals,Entered Employment,Online,20/04/2018,Temp Designer,Microsoft,28.89,,,,
T-1023,7,Other,1955,Unreported,Graduate and Beyond,Plymouth,No,Support,13.69,06/02/2016,Graduated,20/08/2016,UX,Entered Military,Online,24/09/2016,Temp Designer,Microsoft,30.85,,,,
T-1024,7,Male,1985,No,Graduate and Beyond,Minneapolis,Yes,Employee,10.17,01/08/2015,Graduated,05/03/2016,QA,Institutionalized,Classroom,20/12/2016,IT Support,Branch Messenger,28.39,06/03/2017,Junior Engineer,Osborn 370,26.91
T-1025,7,Male,1960,No,Some College,St. Paul,Yes,Associate,14.39,11/12/2016,Graduated,22/02/2017,QA,Incarcerated,Online,21/04/2017,Temp Designer,Bright Health,30.45,,,,
T-1026,7,Female,1995,Yes,Some College,Edina,No,Employee,12.52,09/05/2016,Withdrew,21/11/2016,QA,Institutionalized,Online,28/08/2017,Developer,Bind Benefits,25.41,,,,
T-1027,7,Female,1965,Yes,HS/GED,St. Paul,Yes,Temp,14.51,23/02/2015,Withdrew,15/09/2015,IT Fundamentals,Health/Medical,Classroom,05/04/2016,Junior Designer,Upsie,31.07,,,,
T-1028,7,Other,1978,Yes,Graduate and Beyond,Roseville,No,Manager,12.46,06/08/2017,Withdrew,08/03/2018,UX,Enrolled in Additional Training,Online,12/01/2019,Junior Designer,Apple,24.48,25/01/2020,Junior Engineer,Foodsby,31.49
T-1029,7,Female,1976,No,Bachelors,Brooklyn Center,Yes,Temp,12.04,27/01/2016,Withdrew,20/09/2016,IT Fundamentals,Incarcerated,Online,26/04/2017,Web Developer,Bite Squad,24.32,,,,
T-1030,7,Other,1993,Yes,Associates,Plymouth,Yes,Temp,12.16,21/04/2015,Withdrew,28/10/2015,QA,Institutionalized,Classroom,15/06/2016,Temp Developer,Foodsby,29.67,,,,
T-1031,7,Male,1975,Yes,Associates,Minneapolis,No,,,02/11/2015,Graduated,08/01/2016,UX,Enrolled in Additional Training,Classroom,25/05/2016,Temp Designer,Apple,26.86,,,,
T-1032,7,Other,1972,Unreported,Associates,St. Paul,No,Support,11.04,28/12/2015,Removed,13/07/2016,UX,Institutionalized,Online,10/06/2017,Temp Developer,Google,31.61,21/09/2017,Junior Engineer,Loup Ventures,30.10
T-1033,7,Male,1960,Yes,Bachelors,Roseville,Yes,Team Member,15.78,08/06/2017,Removed,02/02/2018,UX,Institutionalized,Classroom,,,,,,,,
T-1034,7,Unreported,1979,No,Associates,Plymouth,Yes,Temp,9.09,07/06/2017,Graduated,11/12/2017,IT Fundamentals,Entered Employment,Online,,,,,,,,
T-1035,7,Male,1992,Unreported,Associates,Minneapolis,Yes,Contractor,13.56,15/02/2016,Withdrew,04/11/2016,QA,Incarcerated,Classroom,11/04/2017,Developer,Bite Squad,31.27,,,,
T-1036,7,Unreported,1989,Yes,Some College,St. Paul,Yes,Team Member,14.55,27/03/2017,Graduated,21/08/2017,IT Fundamentals,Entered Military,Classroom,12/02/2018,Web Developer,Osborn 370,26.78,,,,
T-1037,7,Female,1997,Yes,Bachelors,Eden Prairie,No,Support,14.03,03/03/2017,Withdrew,02/09/2017,IT Fundamentals,Institutionalized,Classroom,16/07/2018,Temp Designer,Bright Health,25.84,,,,
T-1038,7,Unreported,1968,No,Graduate and Beyond,Robbinsdale,No,Temp,13.54,21/04/2015,Graduated,25/07/2015,IT Fundamentals,Incarcerated,Classroom,13/01/2016,Junior Engineer,Osborn 370,30.22,,,,
T-1039,7,Unreported,1976,No,Bachelors,Edina,Yes,Support,11.72,30/06/2016,Removed,25/03/2017,IT Fundamentals,Health/Medical,Online,17/12/2017,Junior Engineer,Branch Messenger,26.78,,,,
T-1040,7,Male,1979,Yes,Some College,Edina,Yes,,,09/07/2016,Removed,05/01/2017,UX,Entered Employment,Classroom,04/06/2017,Junior Designer,Foodsby,30.01,,,,
T-1041,7,Female,1986,No,Associates,Roseville,No,Supervisor,14.45,19/05/2017,Removed,11/02/2018,UX,Enrolled in Additional Training,Online,10/10/2018,Junior Engineer,Code 42,26.76,,,,
T-1042,7,Male,1975,Unreported,Bachelors,St. Paul,Yes,Team Member,11.63,07/04/2015,Withdrew,10/11/2015,QA,Health/Medical,Classroom,20/08/2016,Project Manager,Foodsby,29.81,17/12/2016,Designer,Great North Labs,26.43
T-1043,7,Female,1964,Yes,Associates,Eden Prairie,Yes,Associate,12.79,23/02/2015,Graduated,14/05/2015,UX,Enrolled in Additional Training,Classroom,27/01/2016,Temp Developer,Aftercode,30.28,,,,
T-1044,7,Other,1980,Yes,Bachelors,Roseville,Yes,Manager,15.14,29/01/2015,Graduated,11/07/2015,IT Fundamentals,Entered Employment,Classroom,08/08/2015,Junior Developer,Foodsby,29.08,,,,
T-1045,7,Female,1972,No,Some College,Edina,Yes,Representative,13.57,06/06/2016,Removed,06/02/2017,QA,Institutionalized,Classroom,12/08/2017,Designer,Apple,24.59,,,,
T-1046,7,Female,1989,No,Some College,Eden Prairie,Yes,Contractor,14.20,30/12/2017,Withdrew,12/07/2018,QA,Entered Employment,Online,22/01/2019,Designer,Aftercode,28.99,,,,
T-1047,7,Unreported,1984,Unreported,Associates,Minneapolis,Yes,Support,15.90,09/03/2016,Removed,14/05/2016,IT Fundamentals,Entered Employment,Online,24/09/2016,Temp Developer,Bind Benefits,24.18,,,,
T-1048,7,Unreported,1996,No,Some College,St. Paul,No,Temp,15.88,23/03/2017,Withdrew,03/12/2017,UX,Health/Medical,Online,02/01/2018,Junior Designer,Merrill Corporation,24.23,,,,
T-1049,7,Other,1959,Unreported,Associates,St. Paul,No,Employee,9.55,30/10/2016,Graduated,17/07/2017,UX,Enrolled in Additional Training,Classroom,07/02/2018,IT Support,Code 42,30.15,,,,
T-1050,7,Male,1966,Yes,Some College,Edina,Yes,Supervisor,10.75,22/10/2017,Withdrew,25/03/2018,UX,Institutionalized,Classroom,06/06/2018,Temp Designer,Nerdery,30.97,,,,
T-1051,7,Unreported,1963,Yes,HS/GED,Edina,No,Temp,11.70,13/11/2017,Graduated,24/02/2018,QA,Entered Employment,Online,13/01/2019,Project Manager,Great North Labs,26.88,,,,
T-1052,7,Female,1957,Yes,Some College,Brooklyn Center,Yes,Associate,9.83,24/06/2017,Graduated,04/02/2018,QA,Incarcerated,Classroom,11/07/2018,Temp Designer,Bind Benefits,29.71,,,,
T-1053,7,Female,1979,Unreported,Bachelors,Plymouth,Yes,Manager,9.36,25/07/2015,Graduated,19/11/2015,UX,Institutionalized,Online,15/11/2016,IT Support,Branch Messenger,27.79,,,,
T-1054,7,Female,1988,No,HS/GED,Robbinsdale,Yes,,,23/02/2017,Withdrew,05/05/2017,UX,Entered Military,Classroom,03/09/2017,Temp Developer,Upsie,28.35,,,,
T-1055,7,Female,1953,Unreported,HS/GED,Brooklyn Center,Yes,Cashier,10.71,15/02/2016,Withdrew,12/08/2016,QA,Institutionalized,Classroom,06/01/2017,Designer,Bite Squad,27.41,,,,
T-1056,7,Female,1992,Yes,Associates,Minneapolis,Yes,,,30/10/2017,Graduated,22/03/2018,QA,Health/Medical,Classroom,06/12/2018,Web Developer,Branch Messenger,25.08,,,,
T-1057,7,Male,1951,Yes,Graduate and Beyond,St. Paul,Yes,Cashier,11.12,21/01/2015,Graduated,27/04/2015,IT Fundamentals,Health/Medical,Online,11/09/2015,Junior Engineer,Microsoft,24.76,,,,
T-1058,7,Female,1969,No,Bachelors,Minneapolis,No,Representative,10.32,24/08/2017,Withdrew,27/11/2017,UX,Enrolled in Additional Training,Online,03/11/2018,Developer,Great North Labs,25.77,,,,
T-1059,7,Female,2001,No,Graduate and Beyond,Minneapolis,Yes,Manager,10.01,02/12/2015,Removed,27/08/2016,QA,Entered Employment,Online,16/04/2017,Developer,Google,24.69,,,,
T-1060,7,Unreported,1995,Yes,HS/GED,Plymouth,No,Associate,13.94,05/09/2015,Removed,01/12/2015,QA,Incarcerated,Online,19/09/2016,IT Support,Foodsby,25.38,,,,
T-1061,7,Female,1962,No,Some College,St. Paul,Yes,Supervisor,10.48,28/01/2017,Removed,11/06/2017,IT Fundamentals,Incarcerated,Online,28/12/2017,IT Support,Loup Ventures,25.10,,,,
T-1062,7,Unreported,1966,Unreported,Associates,Minneapolis,Yes,,,24/11/2017,In Training,,IT Fundamentals,,Online,,,,,,,,
T-1063,7,Unreported,2000,No,Bachelors,Roseville,No,,,27/05/2015,Graduated,20/10/2015,IT Fundamentals,Health/Medical,Classroom,07/02/2016,Web Developer,Bright Health,29.57,,,,
T-1064,7,Unreported,1999,No,Bachelors,Roseville,No,Contractor,15.37,14/11/2017,Graduated,01/03/2018,UX,Entered Employment,Classroom,27/05/2018,IT Support,Merrill Corporation,27.84,,,,
T-1065,7,Other,1962,Yes,Some College,Edina,Yes,,,15/12/2015,Withdrew,13/02/2016,IT Fundamentals,Incarcerated,Classroom,05/08/2016,Temp Designer,Google,27.86,,,,
T-1066,7,Other,1995,Yes,Bachelors,St. Paul,No,Associate,14.75,30/09/2017,Withdrew,18/05/2018,UX,Institutionalized,Classroom,28/03/2019,Junior Developer,Apple,29.58,,,,
T-1067,7,Other,1973,Yes,HS/GED,Minneapolis,Yes,Supervisor,13.32,14/07/2017,Withdrew,08/12/2017,QA,Institutionalized,Online,09/05/2018,Junior Engineer,Aftercode,31.64,,,,
T-1068,7,Unreported,1995,Unreported,Some College,Minneapolis,No,Cashier,9.34,11/05/2015,Withdrew,09/08/2015,IT Fundamentals,Entered Employment,Classroom,11/12/2015,Project Manager,Microsoft,29.78,,,,
T-1069,7,Female,1990,No,Bachelors,Minneapolis,No,Representative,11.28,12/02/2017,Graduated,17/07/2017,IT Fundamentals,Health/Medical,Classroom,08/12/2017,Project Manager,Bite Squad,29.05,,,,
T-1070,7,Other,1959,Unreported,HS/GED,Minneapolis,No,Support,12.45,22/05/2016,Withdrew,07/09/2016,QA,Enrolled in Additional Training,Classroom,11/10/2016,Project Manager,Google,26.84,,,,
T-1071,7,Unreported,1976,Yes,HS/GED,Plymouth,No,Support,11.84,20/08/2015,Withdrew,11/01/2016,QA,Enrolled in Additional Training,Online,23/12/2016,Temp Developer,Google,28.78,13/11/2017,Junior Developer,Code 42,26.19
T-1072,7,Other,1959,No,Associates,Eden Prairie,Yes,Team Member,15.04,14/12/2016,Removed,15/08/2017,QA,Incarcerated,Classroom,03/08/2018,IT Support,Microsoft,25.33,,,,
T-1073,7,Male,1996,Unreported,Graduate and Beyond,Eden Prairie,No,Supervisor,14.02,01/09/2017,Removed,20/12/2017,UX,Health/Medical,Online,12/12/2018,Developer,Apple,25.68,,,,
T-1074,7,Unreported,1992,No,Graduate and Beyond,St. Paul,No,Associate,11.52,28/01/2015,Removed,13/08/2015,QA,Entered Employment,Online,22/06/2016,Temp Developer,Bite Squad,26.69,,,,
T-1075,7,Male,1967,No,Graduate and Beyond,St. Paul,Yes,Support,10.12,23/07/2017,Graduated,01/03/2018,IT Fundamentals,Entered Military,Classroom,10/12/2018,Web Developer,Upsie,29.39,,,,
T-1076,7,Female,1954,Yes,Associates,Edina,No,Supervisor,15.79,28/04/2017,Withdrew,11/06/2017,QA,Institutionalized,Online,14/01/2018,Project Manager,Upsie,29.69,,,,
T-1077,7,Other,1969,Yes,HS/GED,Brooklyn Center,No,,,02/11/2017,Removed,03/03/2018,IT Fundamentals,Enrolled in Additional Training,Online,09/08/2018,Temp Designer,Bright Health,24.56,,,,
T-1078,7,Unreported,1987,Unreported,Bachelors,St. Paul,No,,,23/08/2016,Withdrew,25/11/2016,UX,Entered Military,Classroom,13/07/2017,Designer,Merrill Corporation,30.88,,,,
T-1079,7,Male,1982,Yes,Some College,Edina,No,Representative,10.50,30/05/2017,Withdrew,17/02/2018,UX,Incarcerated,Online,21/02/2019,Web Developer,Bite Squad,31.80,,,,
T-1080,7,Male,1972,No,Graduate and Beyond,Edina,No,Team Member,13.96,19/10/2017,Withdrew,15/05/2018,QA,Incarcerated,Classroom,08/04/2019,Web Developer,Aftercode,25.96,,,,
T-1081,7,Unreported,1997,Yes,Bachelors,Eden Prairie,Yes,Supervisor,10.72,06/02/2015,Removed,17/09/2015,UX,Enrolled in Additional Training,Online,13/03/2016,Project Manager,Bright Health,28.89,,,,
T-1082,7,Male,1998,Yes,Some College,Robbinsdale,No,Manager,12.52,23/11/2016,Withdrew,21/08/2017,QA,Entered Military,Classroom,01/08/2018,Developer,Foodsby,25.49,,,,
T-1083,7,Male,1994,Yes,Associates,Eden Prairie,Yes,Manager,12.73,04/05/2016,Withdrew,05/12/2016,IT Fundamentals,Incarcerated,Online,07/01/2017,Junior Engineer,Great North Labs,27.56,,,,
T-1084,7,Other,1978,Unreported,Graduate and Beyond,Minneapolis,No,Employee,10.78,17/12/2015,Removed,01/02/2016,QA,Entered Employment,Classroom,21/12/2016,Junior Engineer,Bite Squad,28.69,,,,
T-1085,7,Other,2000,No,Bachelors,Edina,No,Contractor,11.72,06/07/2017,Withdrew,16/02/2018,QA,Entered Military,Online,28/05/2018,Developer,Branch Messenger,30.44,,,,
T-1086,7,Female,1973,Yes,Associates,Edina,No,Support,9.85,22/05/2015,Removed,25/11/2015,UX,Health/Medical,Online,16/04/2016,Temp Developer,Google,31.45,,,,
T-1087,7,Female,1974,Unreported,Graduate and Beyond,Edina,Yes,Associate,13.34,02/03/2015,Removed,10/10/2015,IT Fundamentals,Incarcerated,Online,02/11/2015,Junior Engineer,Bind Benefits,24.26,17/08/2016,Web Developer,Bind Benefits,29.00
T-1088,7,Other,1958,Unreported,HS/GED,Brooklyn Center,Yes,Manager,13.51,27/07/2017,Removed,13/03/2018,UX,Institutionalized,Classroom,,,,,,,,
T-1089,7,Unreported,1975,Unreported,Associates,Edina,No,Manager,10.08,02/02/2015,Removed,04/07/2015,UX,Entered Employment,Online,18/03/2016,IT Support,Code 42,28.71,,,,
T-1090,7,Male,1958,Unreported,HS/GED,Robbinsdale,No,Cashier,11.13,17/01/2017,Withdrew,13/08/2017,UX,Entered Employment,Classroom,09/07/2018,Developer,Google,28.60,28/04/2019,IT Support,Nerdery,24.96
T-1091,7,Male,1973,Unreported,Associates,Brooklyn Center,No,Employee,15.17,25/02/2017,Withdrew,12/10/2017,UX,Institutionalized,Classroom,07/02/2018,Project Manager,Branch Messenger,25.79,,,,
T-1092,7,Female,1998,No,Some College,Plymouth,Yes,Associate,14.39,02/11/2016,Graduated,12/06/2017,QA,Institutionalized,Online,11/08/2017,IT Support,Foodsby,24.34,,,,
T-1093,7,Other,1973,Yes,HS/GED,Plymouth,Yes,Support,10.94,21/05/2015,Removed,18/01/2016,UX,Health/Medical,Classroom,26/02/2017,Designer,Loup Ventures,31.51,,,,
T-1094,7,Female,1993,No,HS/GED,St. Paul,No,Associate,13.38,20/06/2015,Removed,22/01/2016,QA,Health/Medical,Classroom,28/05/2016,Developer,Bind Benefits,29.07,,,,
T-1095,7,Other,1976,Yes,Associates,Minneapolis,No,Team Member,14.38,23/04/2017,Withdrew,24/01/2018,IT Fundamentals,Enrolled in Additional Training,Classroom,26/02/2018,Web Developer,Aftercode,27.40,,,,
T-1096,7,Unreported,1999,Yes,Associates,St. Paul,No,Representative,10.91,17/02/2016,Withdrew,22/08/2016,UX,Enrolled in Additional Training,Online,05/03/2017,Programmer,Microsoft,26.81,,,,
T-1097,7,Unreported,2000,Unreported,Some College,Roseville,No,Representative,9.99,03/02/2015,Graduated,26/05/2015,IT Fundamentals,Institutionalized,Online,25/05/2016,Programmer,Upsie,29.96,,,,
T-1098,7,Female,1980,Yes,HS/GED,St. Paul,No,Associate,15.58,12/07/2015,Removed,06/11/2015,QA,Health/Medical,Classroom,18/12/2015,Junior Engineer,Google,30.20,,,,
T-1099,7,Male,1963,Unreported,Associates,Robbinsdale,No,Cashier,11.52,11/06/2015,Withdrew,15/02/2016,QA,Entered Employment,Online,09/06/2016,Programmer,Microsoft,27.03,,,,
T-1100,7,Male,1973,No,Associates,Plymouth,No,Contractor,15.42,12/11/2016,Removed,21/06/2017,IT Fundamentals,Entered Employment,Classroom,07/12/2017,Developer,Bite Squad,31.81,18/07/2018,Junior Developer,Branch Messenger,27.79
