person_id,partner_id,gender,year_of_birth,person_of_color,education_level,city_of_residence,scholarship_recipient,previous_job_experience,pre_training_wage,training_start_date,training_status,training_end_date,training_type,exit_status,classroom_or_online,job_placement_date,hiring_job_title,hiring_company,starting_wage,second_job_placement_date,second_job_title,second_job_company,second_starting_wage
Y-1001,1,Male,1997,Unreported,HS/GED,Robbinsdale,Yes,Team Member,15.54,21/02/2015,Withdrew,26/10/2015,QA,Institutionalized,Classroom,06/10/2016,Developer,Great North Labs,29.15,15/12/2016,Temp Designer,Code 42,26.21
Y-1002,1,Female,1982,No,Bachelors,St. Paul,No,Temp,14.73,28/11/2017,Graduated,15/06/2018,IT Fundamentals,Incarcerated,Classroom,19/11/2018,Project Manager,Foodsby,26.27,,,,
Y-1003,1,Female,1953,Unreported,Bachelors,Eden Prairie,No,,,12/07/2016,Withdrew,19/04/2017,QA,Enrolled in Additional Training,Classroom,09/06/2017,Temp Designer,Apple,29.88,19/08/2017,Temp Developer,Aftercode,25.98
Y-1004,1,Male,1955,No,HS/GED,Minneapolis,No,Representative,15.21,29/04/2017,Removed,11/07/2017,QA,Health/Medical,Online,25/08/2017,Project Manager,Bind Benefits,27.74,,,,
Y-1005,1,Female,1994,Unreported,HS/GED,Roseville,No,Supervisor,14.05,12/02/2017,Graduated,10/08/2017,QA,Enrolled in Additional Training,Online,02/06/2018,Junior Engineer,Bind Benefits,28.43,13/09/2018,Temp Designer,Branch Messenger,25.81
Y-1006,1,Unreported,1967,Yes,HS/GED,Roseville,Yes,Manager,15.40,14/06/2016,Removed,18/01/2017,IT Fundamentals,Health/Medical,Online,24/01/2018,Programmer,Bind Benefits,24.13,,,,
Y-1007,1,Male,1989,Yes,HS/GED,Brooklyn Center,No,Temp,15.08,16/09/2016,Graduated,15/03/2017,UX,Health/Medical,Online,25/06/2017,Junior Designer,Bite Squad,24.34,,,,
Y-1008,1,Unreported,1951,Unreported,Some College,St. Paul,No,Support,13.33,19/03/2016,Withdrew,15/10/2016,UX,Institutionalized,Online,21/12/2016,Project Manager,Branch Messenger,31.69,,,,
Y-1009,1,Unreported,1961,Yes,Associates,Edina,Yes,Representative,12.71,20/08/2015,Withdrew,19/01/2016,QA,Entered Employment,Classroom,14/04/2016,Programmer,Osborn 370,26.46,,,,
Y-1010,1,Female,1997,No,Graduate and Beyond,Eden Prairie,No,Associate,15.25,08/02/2017,Withdrew,08/06/2017,UX,Health/Medical,Classroom,23/07/2017,Temp Designer,Apple,27.07,,,,
