person_id,gender,year_of_birth,person_of_color,education_level,city_of_residence,scholarship_recipient,previous_job_experience,pre_training_wage,training_start_date,training_status,training_end_date,training_type,exit_status,classroom_or_online,job_placement_date,hiring_job_title,hiring_company,starting_wage,second_job_placement_date,second_job_title,second_job_company,second_starting_wage
T-1,Unreported,1959,unreported,Graduate and Beyond,Roseville,yes,Contractor,15.98,22/11/2017,Removed,10/01/2018,UX,Enrolled in Additional Training,Classroom,06/12/2018,Temp Designer,Bite Squad,31.98,,,,
S-2,Female,1980,no,Bachelors,St. Paul,no,Team Member,15.90,19/11/2017,Withdrew,19/04/2018,UX,Health/Medical,Online,19/09/2018,Temp Designer,Upsie,27.78,,,,
T-3,Other,1968,no,Associates,Plymouth,no,Contractor,13.19,02/03/2016,Graduated,14/12/2016,QA,Entered Military,Classroom,23/05/2017,Programmer,Google,25.32,,,,
Y-4,Female,1968,no,Some College,Minneapolis,no,Associate,11.40,23/04/2016,Graduated,11/06/2016,IT Fundamentals,Institutionalized,Classroom,12/01/2017,Junior Developer,Bright Health,25.18,,,,
Y-5,Other,1972,no,Associates,Robbinsdale,yes,Representative,12.24,29/03/2017,Removed,12/05/2017,UX,Institutionalized,Classroom,15/11/2017,Temp Designer,Nerdery,26.26,,,,
S-6,Female,1995,yes,HS/GED,Brooklyn Center,no,Contractor,14.57,24/04/2017,Withdrew,20/08/2017,IT Fundamentals,Institutionalized,Classroom,05/03/2018,Junior Developer,Foodsby,27.43,14/12/2018,Junior Developer,Branch Messenger,31.76
S-7,Other,1960,no,Some College,Minneapolis,no,Temp,14.65,22/09/2015,Removed,17/12/2015,UX,Health/Medical,Classroom,07/05/2016,Temp Developer,Google,31.32,,,,
M-8,Other,1998,yes,Some College,Roseville,yes,Contractor,10.62,15/08/2017,Removed,10/01/2018,IT Fundamentals,Health/Medical,Classroom,08/09/2018,Temp Developer,Branch Messenger,24.55,,,,
P-9,Female,1983,yes,HS/GED,Roseville,no,Associate,13.34,13/08/2016,Removed,28/11/2016,QA,Entered Employment,Online,06/03/2017,IT Support,Code 42,26.20,,,,
P-10,Male,1972,no,Some College,Plymouth,yes,Supervisor,11.97,14/07/2016,Removed,02/09/2016,UX,Institutionalized,Online,25/04/2017,Temp Developer,Bright Health,26.30,,,,
S-11,Male,1974,yes,Graduate and Beyond,Roseville,yes,Supervisor,9.57,05/02/2016,Graduated,07/04/2016,IT Fundamentals,Institutionalized,Online,01/07/2016,Programmer,Upsie,29.83,,,,
T-12,Other,1999,no,Bachelors,Minneapolis,yes,,15.61,16/09/2017,Withdrew,02/04/2018,QA,Health/Medical,Online,20/09/2018,Temp Designer,Foodsby,25.69,,,,
M-13,Male,1955,unreported,HS/GED,Eden Prairie,no,Associate,14.07,10/03/2017,Withdrew,18/05/2017,UX,Incarcerated,Classroom,09/10/2017,Temp Developer,Bite Squad,24.75,,,,
P-14,Unreported,2001,unreported,Some College,St. Paul,yes,Cashier,10.41,22/02/2017,Withdrew,04/05/2017,QA,Incarcerated,Online,24/03/2018,Programmer,Google,28.48,,,,
P-15,Other,1958,no,Graduate and Beyond,Plymouth,yes,Team Member,12.89,31/07/2016,Removed,08/01/2017,IT Fundamentals,Health/Medical,Classroom,15/05/2017,Junior Designer,Google,26.36,,,,
J-16,Other,1977,unreported,HS/GED,St. Paul,no,Associate,12.64,19/06/2017,Withdrew,14/01/2018,UX,Enrolled in Additional Training,Classroom,11/10/2018,Project Manager,Foodsby,27.76,,,,
C-17,Unreported,1988,unreported,Some College,Minneapolis,yes,Manager,14.54,07/04/2017,Removed,10/07/2017,IT Fundamentals,Institutionalized,Classroom,14/03/2018,Junior Designer,Nerdery,27.81,15/03/2019,Developer,Great North Labs,29.18
T-18,Male,1991,yes,Some College,Plymouth,yes,Team Member,15.67,02/04/2017,Withdrew,03/06/2017,IT Fundamentals,Incarcerated,Classroom,15/10/2017,Programmer,Bite Squad,30.99,,,,
Y-19,Female,1987,unreported,Graduate and Beyond,Roseville,no,Employee,13.28,13/11/2017,Graduated,02/02/2018,UX,Enrolled in Additional Training,Online,06/02/2019,Junior Engineer,Apple,24.30,,,,
J-20,Female,1970,no,Some College,Roseville,yes,Support,9.17,15/12/2016,Graduated,09/02/2017,UX,Institutionalized,Online,04/07/2017,Developer,Bright Health,26.54,,,,
T-21,Male,1979,yes,Graduate and Beyond,Roseville,no,Contractor,9.97,07/07/2016,Removed,25/10/2016,IT Fundamentals,Enrolled in Additional Training,Classroom,01/11/2016,Temp Designer,Merrill Corporation,26.83,17/01/2017,Junior Engineer,Code 42,30.88
M-22,Unreported,1982,yes,Bachelors,Edina,yes,Representative,11.67,28/09/2016,Graduated,09/03/2017,QA,Entered Employment,Online,08/09/2017,Project Manager,Osborn 370,26.49,,,,
