Person ID,Partner ID,Gender,Birth Year,Person of Color,Education Level,City of Residence,MSP TechHire Scholarship,Previous Job Title,Pre-training Wage (hourly),Entered Training Date,Training Status,Exit Training Date,Training Type,Classroom or Online,Exit Status,Job Placement Date,Hiring Company,Hiring Job Title,Wage at Initial Hire (hourly),2nd Job Placement Date,2nd Job Company,2nd Job Title,2nd Hire Wage
P-15,3,Male,1962,Unreported,Bachelors,Robbinsdale,Yes,,,16/09/2017,Graduated,12/05/2018,QA,Classroom,Health/Medical,11/09/2018,Bite Squad,Temp Designer,28.46,,,,
P-30,3,Male,1978,No,HS/GED,Edina,Yes,Team Member,10.07,09/01/2015,Graduated,01/04/2015,IT Fundamentals,Classroom,Entered Employment,13/03/2016,Bite Squad,Junior Engineer,31.80,,,,
P-40,3,Male,1960,No,Some College,Brooklyn Center,No,Associate,13.54,25/04/2016,Graduated,28/01/2017,UX,Classroom,Entered Military,12/07/2017,Great North Labs,Junior Engineer,29.10,10/04/2018,Aftercode,IT Support,30.30
P-69,3,Male,1997,Yes,Some College,St. Paul,Yes,,,09/04/2017,Withdrew,04/06/2017,UX,Classroom,Enrolled in Additional Training,06/05/2018,Bite Squad,Junior Developer,30.47,,,,
P-75,3,Male,1957,Yes,Bachelors,Plymouth,No,Support,13.35,22/08/2015,Graduated,26/02/2016,IT Fundamentals,Classroom,Entered Employment,19/06/2016,Bright Health,Project Manager,30.75,,,,
P-77,3,Male,1974,Unreported,Some College,Plymouth,Yes,Representative,12.55,26/03/2017,Graduated,08/07/2017,IT Fundamentals,Classroom,Entered Employment,22/01/2018,Osborn 370,Designer,25.21,,,,
P-95,3,Male,1963,No,Associates,Roseville,Yes,Contractor,12.75,10/06/2016,Withdrew,16/02/2017,UX,Online,Entered Employment,12/02/2018,Osborn 370,Developer,28.65,,,,
P-103,3,Female,1956,No,Bachelors,Brooklyn Center,No,Contractor,15.69,13/06/2017,Graduated,24/02/2018,UX,Online,Entered Employment,09/09/2018,Code 42,Developer,31.35,,,,
P-134,3,Female,1992,No,Bachelors,St. Paul,No,Temp,12.56,01/05/2015,Graduated,26/10/2015,UX,Online,Enrolled in Additional Training,24/04/2016,Google,Temp Designer,26.08,,,,
P-175,3,Other,1984,Unreported,HS/GED,Robbinsdale,No,Associate,13.41,21/08/2016,Graduated,12/02/2017,IT Fundamentals,Online,Enrolled in Additional Training,25/01/2018,Merrill Corporation,Junior Designer,25.52,,,,
P-177,3,Unreported,1958,No,Associates,St. Paul,Yes,Manager,15.52,18/04/2016,Withdrew,02/11/2016,QA,Online,Entered Employment,03/10/2017,Osborn 370,IT Support,31.25,,,,
P-182,3,Unreported,1956,Unreported,Associates,Eden Prairie,No,Manager,13.43,28/05/2015,Removed,01/09/2015,UX,Online,Enrolled in Additional Training,14/05/2016,Loup Ventures,Junior Developer,26.44,,,,
P-186,3,Male,1981,No,Graduate and Beyond,Edina,No,,,10/02/2016,Graduated,22/07/2016,UX,Online,Entered Employment,05/01/2017,Branch Messenger,Junior Engineer,31.46,14/11/2017,Google,Developer,27.70
P-191,3,Male,1982,Unreported,Some College,Minneapolis,No,Representative,15.31,10/08/2017,Removed,17/02/2018,UX,Online,Entered Employment,07/02/2019,Loup Ventures,Programmer,29.41,,,,
P-194,3,Male,1999,Yes,HS/GED,Robbinsdale,No,Team Member,12.81,29/06/2017,Graduated,07/10/2017,IT Fundamentals,Online,Entered Employment,09/02/2018,Loup Ventures,Temp Developer,31.63,,,,
P-199,3,Male,1958,Unreported,Bachelors,Robbinsdale,No,Representative,14.86,02/06/2015,Graduated,26/12/2015,IT Fundamentals,Classroom,Entered Employment,15/06/2016,Loup Ventures,Junior Designer,30.49,03/11/2016,Foodsby,Designer,24.77
P-204,3,Female,1950,No,Some College,Robbinsdale,No,Manager,11.51,11/02/2016,Graduated,02/11/2016,UX,Classroom,Entered Employment,10/09/2017,Merrill Corporation,Designer,24.12,18/06/2018,Microsoft,Temp Developer,31.33
P-207,3,Male,1952,Unreported,Associates,Eden Prairie,No,Supervisor,15.56,07/07/2015,Graduated,23/12/2015,UX,Classroom,Entered Employment,11/09/2016,Foodsby,IT Support,31.14,,,,
P-215,3,Male,1963,No,Associates,Minneapolis,Yes,Representative,9.16,30/03/2015,Withdrew,27/12/2015,QA,Classroom,Entered Employment,12/07/2016,Branch Messenger,Junior Designer,26.78,20/10/2016,Osborn 370,Temp Designer,24.49
P-223,3,Male,1960,No,Associates,Eden Prairie,Yes,Contractor,11.92,23/06/2017,Removed,18/08/2017,UX,Classroom,Entered Employment,25/11/2017,Aftercode,Developer,27.97,18/06/2018,Osborn 370,Developer,25.47
P-242,3,Male,1982,No,Bachelors,St. Paul,No,Cashier,15.77,05/11/2017,Graduated,26/03/2018,IT Fundamentals,Classroom,Entered Employment,12/12/2018,Bright Health,Junior Developer,31.69,25/01/2019,Apple,Web Developer,29.43
P-244,3,Female,1962,No,Some College,St. Paul,No,Employee,11.33,22/12/2016,Graduated,17/02/2017,UX,Online,Entered Military,01/08/2017,Google,Junior Engineer,28.53,19/12/2017,Foodsby,Designer,29.45
P-253,3,Unreported,1997,No,Bachelors,Minneapolis,No,Support,14.72,09/07/2015,Graduated,22/11/2015,IT Fundamentals,Classroom,Entered Employment,20/01/2016,Branch Messenger,Junior Engineer,31.14,,,,
P-267,3,Unreported,1962,No,Bachelors,Plymouth,No,Temp,13.30,06/02/2017,Graduated,09/04/2017,IT Fundamentals,Classroom,Entered Employment,25/12/2017,Apple,Programmer,30.22,,,,
P-269,3,Male,1957,Unreported,Bachelors,St. Paul,No,Manager,9.53,12/11/2015,Graduated,03/04/2016,IT Fundamentals,Classroom,Entered Employment,19/05/2016,Apple,Temp Developer,26.69,,,,
P-270,3,Female,1975,No,Associates,Brooklyn Center,Yes,,,05/11/2017,Withdrew,09/08/2018,QA,Online,Health/Medical,10/11/2018,Loup Ventures,Project Manager,29.64,,,,
P-285,3,Male,1998,No,HS/GED,Roseville,Yes,Cashier,13.81,30/03/2016,Graduated,02/12/2016,UX,Online,Entered Employment,10/05/2017,Nerdery,Project Manager,30.36,,,,
P-290,3,Unreported,1959,Unreported,Some College,Eden Prairie,Yes,Manager,10.54,26/06/2017,Graduated,15/02/2018,QA,Online,Health/Medical,16/03/2018,Nerdery,Project Manager,31.11,27/10/2018,Google,Junior Engineer,31.69
P-297,3,Other,1997,No,Some College,Plymouth,Yes,Supervisor,15.17,17/10/2015,Graduated,28/03/2016,IT Fundamentals,Online,Entered Employment,03/06/2016,Code 42,Designer,24.52,,,,
P-303,3,Male,1973,No,Bachelors,Minneapolis,No,Manager,11.99,12/12/2017,Graduated,05/05/2018,UX,Classroom,Enrolled in Additional Training,23/02/2019,Microsoft,Developer,27.96,,,,
