Person ID,Partner ID,Gender,Birth Year,Person of Color,Education Level,City of Residence,MSP TechHire Scholarship,Previous Job Title,Pre-training Wage (hourly),Entered Training Date,Training Status,Exit Training Date,Training Type,Classroom or Online,Exit Status,Job Placement Date,Hiring Company,Hiring Job Title,Wage at Initial Hire (hourly),2nd Job Placement Date,2nd Job Company,2nd Job Title,2nd Hire Wage
M-4,6,Male,1987,No,HS/GED,Minneapolis,Yes,Representative,11.12,25/07/2016,Graduated,10/03/2017,UX,Online,Enrolled in Additional Training,12/03/2018,Upsie,Programmer,24.99,,,,
M-7,6,Other,1950,No,Some College,Roseville,Yes,Team Member,11.22,03/02/2016,Removed,11/07/2016,QA,Online,Entered Employment,16/06/2017,Great North Labs,Web Developer,26.64,,,,
M-11,6,Female,1952,No,Bachelors,Eden Prairie,Yes,Associate,9.64,05/10/2017,Graduated,21/04/2018,QA,Online,Entered Employment,10/01/2019,Apple,Temp Developer,27.88,,,,
M-12,6,Male,1955,Unreported,Bachelors,Edina,No,Associate,12.82,30/12/2016,Graduated,15/03/2017,UX,Online,Entered Employment,12/02/2018,Great North Labs,Web Developer,30.39,,,,
M-19,6,Male,1964,No,Some College,Plymouth,No,Manager,13.84,01/02/2016,Withdrew,16/07/2016,UX,Online,Enrolled in Additional Training,01/09/2016,Bind Benefits,IT Support,28.78,10/02/2017,Bind Benefits,Designer,29.50
M-20,6,Unreported,1996,Unreported,HS/GED,Brooklyn Center,No,Cashier,11.43,28/01/2016,Graduated,27/03/2016,IT Fundamentals,Classroom,Entered Employment,19/06/2016,Code 42,Project Manager,29.89,,,,
M-61,6,Male,1961,Unreported,Associates,Minneapolis,Yes,Temp,15.27,15/12/2015,Graduated,20/02/2016,UX,Online,Entered Employment,07/10/2016,Merrill Corporation,Temp Developer,26.56,,,,
M-71,6,Male,1990,No,HS/GED,Brooklyn Center,Yes,Supervisor,9.26,12/01/2017,Graduated,07/10/2017,UX,Online,Entered Military,21/01/2018,Branch Messenger,Junior Designer,25.98,,,,
M-78,6,Male,1970,Yes,Bachelors,St. Paul,No,Support,13.59,03/05/2017,Graduated,23/02/2018,UX,Online,Entered Employment,13/09/2018,Upsie,Project Manager,24.01,,,,
M-80,6,Male,1994,No,Associates,Minneapolis,No,Cashier,10.67,24/08/2016,Withdrew,11/01/2017,IT Fundamentals,Online,Enrolled in Additional Training,26/03/2017,Merrill Corporation,Developer,29.54,,,,
