Person ID,Partner ID,Gender,Birth Year,Person of Color,Education Level,City of Residence,MSP TechHire Scholarship,Previous Job Title,Pre-training Wage (hourly),Entered Training Date,Training Status,Exit Training Date,Training Type,Classroom or Online,Exit Status,Job Placement Date,Hiring Company,Hiring Job Title,Wage at Initial Hire (hourly),2nd Job Placement Date,2nd Job Company,2nd Job Title,2nd Hire Wage
J-5,5,Unreported,1959,No,Graduate and Beyond,St. Paul,Yes,Temp,12.16,19/09/2015,Withdrew,20/01/2016,QA,Online,Entered Employment,14/11/2016,Loup Ventures,IT Support,30.96,,,,
J-9,5,Female,1967,Yes,Associates,Brooklyn Center,No,Contractor,10.50,16/08/2015,Graduated,19/11/2015,IT Fundamentals,Classroom,Entered Employment,07/09/2016,Bind Benefits,Temp Designer,26.73,,,,
J-24,5,Male,1970,No,Bachelors,Robbinsdale,No,Team Member,15.16,30/06/2016,Graduated,17/12/2016,QA,Online,Enrolled in Additional Training,21/05/2017,Bright Health,Designer,31.53,,,,
J-25,5,Male,1967,Unreported,Some College,Eden Prairie,Yes,Employee,11.15,11/02/2015,Graduated,17/09/2015,UX,Classroom,Entered Employment,05/05/2016,Aftercode,Web Developer,26.07,,,,
J-41,5,Male,1980,No,Associates,Eden Prairie,No,Contractor,11.04,02/07/2016,Graduated,05/04/2017,UX,Online,Entered Employment,21/02/2018,Bind Benefits,Temp Developer,26.62,,,,
J-43,5,Male,1995,No,Bachelors,Eden Prairie,Yes,Cashier,15.12,15/02/2016,Graduated,17/06/2016,IT Fundamentals,Classroom,Entered Military,02/03/2017,Nerdery,Junior Engineer,24.66,,,,
J-44,5,Unreported,1959,Unreported,Associates,Eden Prairie,Yes,Manager,9.43,17/12/2016,Graduated,10/03/2017,UX,Online,Entered Military,24/01/2018,Branch Messenger,Web Developer,27.48,28/02/2018,Bind Benefits,Designer,28.50
J-54,5,Other,1989,Unreported,Bachelors,Eden Prairie,Yes,Support,9.70,30/12/2017,Removed,16/08/2018,IT Fundamentals,Classroom,Entered Employment,24/03/2019,Bite Squad,IT Support,31.75,,,,
J-58,5,Other,1951,No,Bachelors,Eden Prairie,Yes,Contractor,15.69,28/07/2015,Graduated,06/11/2015,IT Fundamentals,Classroom,Entered Employment,15/07/2016,Microsoft,Junior Developer,29.20,,,,
J-59,5,Male,1979,No,Some College,Eden Prairie,No,Temp,9.02,11/01/2017,Removed,08/05/2017,UX,Online,Entered Military,10/05/2018,Bright Health,Temp Designer,25.66,,,,
J-60,5,Male,1971,Unreported,Bachelors,St. Paul,No,Temp,14.68,04/04/2017,Graduated,15/11/2017,QA,Classroom,Entered Employment,12/06/2018,Google,Designer,29.27,,,,
J-79,5,Male,1956,No,Associates,Eden Prairie,No,Representative,11.17,15/11/2015,Graduated,19/02/2016,IT Fundamentals,Online,Health/Medical,20/12/2016,Great North Labs,Programmer,31.96,,,,
J-93,5,Unreported,1984,Yes,Associates,Edina,No,,,31/12/2017,Graduated,01/02/2018,IT Fundamentals,Classroom,Entered Employment,09/05/2018,Loup Ventures,Designer,30.95,12/04/2019,Bright Health,Temp Designer,31.42
J-111,5,Female,1954,No,Bachelors,Roseville,Yes,Team Member,9.23,15/10/2016,Graduated,17/06/2017,QA,Online,Entered Employment,04/02/2018,Great North Labs,Developer,27.68,,,,
J-116,5,Other,1998,No,Associates,Edina,Yes,Contractor,10.74,12/05/2017,Removed,14/07/2017,IT Fundamentals,Online,Enrolled in Additional Training,04/09/2017,Upsie,IT Support,26.20,,,,
J-123,5,Male,1987,Unreported,Bachelors,Plymouth,Yes,Representative,15.08,26/03/2017,Graduated,24/06/2017,UX,Classroom,Entered Employment,16/08/2017,Upsie,Project Manager,25.42,,,,
J-133,5,Female,1973,No,Associates,St. Paul,Yes,Temp,11.11,17/11/2015,Withdrew,02/06/2016,IT Fundamentals,Classroom,Entered Employment,03/05/2017,Upsie,Project Manager,24.15,,,,
J-140,5,Male,1996,Unreported,Some College,Brooklyn Center,Yes,Manager,14.28,09/11/2016,Graduated,04/04/2017,UX,Online,Entered Employment,16/05/2017,Aftercode,Temp Designer,28.30,16/12/2017,Google,IT Support,28.28
J-141,5,Male,1992,Yes,Associates,St. Paul,Yes,Manager,12.92,29/10/2017,Graduated,10/04/2018,UX,Online,Entered Employment,26/05/2019,Nerdery,Programmer,30.91,,,,
J-143,5,Male,2000,No,Bachelors,St. Paul,No,Support,14.55,05/04/2016,Graduated,14/01/2017,UX,Online,Entered Employment,03/06/2017,Code 42,Designer,29.18,,,,
J-144,5,Male,1950,No,HS/GED,St. Paul,No,Manager,14.99,05/06/2016,Graduated,17/03/2017,IT Fundamentals,Classroom,Enrolled in Additional Training,13/10/2017,Aftercode,Temp Designer,31.25,27/12/2017,Microsoft,Project Manager,30.98
J-151,5,Female,1963,Yes,Associates,Edina,Yes,Cashier,14.69,04/08/2017,Graduated,25/02/2018,QA,Classroom,Health/Medical,26/02/2019,Bite Squad,Junior Engineer,24.86,08/08/2019,Merrill Corporation,Developer,25.62
J-156,5,Female,1960,Unreported,Associates,Roseville,Yes,Support,15.11,17/03/2015,Graduated,13/06/2015,IT Fundamentals,Online,Enrolled in Additional Training,07/09/2015,Apple,Junior Developer,25.31,,,,
J-161,5,Male,1988,Yes,Associates,Brooklyn Center,No,Temp,9.99,23/04/2017,Graduated,03/07/2017,QA,Online,Entered Employment,12/01/2018,Bite Squad,Junior Engineer,29.36,,,,
J-167,5,Male,1985,Unreported,Some College,Brooklyn Center,Yes,Contractor,14.18,23/04/2015,Graduated,21/10/2015,IT Fundamentals,Online,Entered Employment,03/01/2016,Branch Messenger,Web Developer,27.05,19/09/2016,Bright Health,Junior Designer,25.58
J-178,5,Female,1966,No,HS/GED,Brooklyn Center,Yes,Team Member,15.85,08/12/2017,Graduated,13/08/2018,IT Fundamentals,Online,Entered Employment,25/05/2019,Branch Messenger,Programmer,29.74,,,,
J-180,5,Unreported,1987,Unreported,Some College,Minneapolis,Yes,,,03/07/2017,Removed,24/10/2017,UX,Online,Enrolled in Additional Training,23/05/2018,Bind Benefits,IT Support,31.51,,,,
J-183,5,Male,1969,No,Associates,Edina,No,Contractor,11.90,01/04/2017,Graduated,25/09/2017,IT Fundamentals,Online,Entered Military,12/10/2017,Aftercode,Web Developer,31.14,,,,
J-187,5,Female,1978,No,Graduate and Beyond,Eden Prairie,Yes,Employee,12.27,18/02/2015,Graduated,20/09/2015,IT Fundamentals,Online,Enrolled in Additional Training,22/09/2016,Code 42,Temp Designer,28.75,,,,
J-189,5,Male,1958,Yes,HS/GED,Roseville,No,Associate,14.16,15/06/2015,Graduated,01/09/2015,QA,Online,Enrolled in Additional Training,04/02/2016,Bind Benefits,Designer,26.85,,,,
J-190,5,Male,1985,No,Some College,Minneapolis,No,Manager,15.07,20/01/2017,Removed,02/07/2017,IT Fundamentals,Classroom,Entered Employment,17/12/2017,Bite Squad,Web Developer,27.97,,,,
J-200,5,Male,1976,Unreported,Associates,Roseville,No,Manager,10.08,05/01/2016,Graduated,19/05/2016,QA,Online,Institutionalized,05/11/2016,Apple,Designer,27.21,,,,
J-203,5,Male,1970,No,Bachelors,Minneapolis,No,Team Member,13.35,16/04/2015,Graduated,10/11/2015,QA,Online,Entered Employment,22/10/2016,Nerdery,Designer,29.88,,,,
J-211,5,Other,1972,No,Bachelors,St. Paul,No,Associate,13.73,01/03/2015,Graduated,12/12/2015,QA,Classroom,Institutionalized,12/10/2016,Aftercode,Programmer,29.97,,,,
J-229,5,Other,1969,Unreported,Graduate and Beyond,Eden Prairie,Yes,Supervisor,9.46,15/09/2015,Graduated,09/02/2016,QA,Online,Entered Employment,16/10/2016,Nerdery,IT Support,28.04,,,,
J-241,5,Male,1974,Unreported,Some College,Minneapolis,No,Supervisor,12.54,10/01/2016,Graduated,17/09/2016,IT Fundamentals,Online,Entered Employment,28/09/2017,Google,Junior Engineer,29.76,,,,
J-248,5,Other,1960,Unreported,Bachelors,Brooklyn Center,No,Team Member,13.51,10/12/2016,Graduated,08/07/2017,UX,Online,Entered Employment,02/07/2018,Merrill Corporation,Developer,24.22,,,,
