Person ID,Partner ID,Gender,Birth Year,Person of Color,Education Level,City of Residence,MSP TechHire Scholarship,Previous Job Title,Pre-training Wage (hourly),Entered Training Date,Training Status,Exit Training Date,Training Type,Classroom or Online,Exit Status,Job Placement Date,Hiring Company,Hiring Job Title,Wage at Initial Hire (hourly),2nd Job Placement Date,2nd Job Company,2nd Job Title,2nd Hire Wage
T-3,7,Female,1953,No,Bachelors,St. Paul,No,Supervisor,10.16,19/04/2017,Graduated,08/08/2017,IT Fundamentals,Classroom,Entered Employment,,,,,,,,
T-6,7,Unreported,1955,Unreported,Graduate and Beyond,Brooklyn Center,Yes,Cashier,12.08,15/02/2015,Graduated,17/09/2015,UX,Online,Entered Employment,22/02/2016,Google,Temp Designer,29.31,,,,
T-16,7,Male,1972,Yes,Some College,Robbinsdale,No,Temp,11.64,16/03/2015,Graduated,18/11/2015,UX,Classroom,Institutionalized,07/06/2016,Aftercode,Junior Designer,26.26,,,,
T-17,7,Female,1973,Unreported,Some College,Roseville,No,Representative,12.16,29/10/2017,Graduated,28/12/2017,IT Fundamentals,Online,Entered Employment,14/03/2018,Google,Junior Engineer,24.05,,,,
T-27,7,Unreported,1995,No,Associates,Eden Prairie,No,Employee,10.40,09/08/2015,Graduated,21/11/2015,IT Fundamentals,Online,Enrolled in Additional Training,16/04/2016,Great North Labs,Web Developer,26.51,,,,
T-32,7,Female,1971,No,Some College,Minneapolis,No,Support,15.45,12/03/2016,Graduated,12/05/2016,UX,Classroom,Entered Employment,13/03/2017,Merrill Corporation,Project Manager,29.74,,,,
T-35,7,Female,1971,No,Some College,Robbinsdale,No,,,15/05/2016,Graduated,10/10/2016,IT Fundamentals,Online,Entered Employment,12/05/2017,Aftercode,Junior Designer,31.64,,,,
T-36,7,Female,1979,Unreported,HS/GED,Robbinsdale,Yes,Team Member,14.49,15/06/2016,Graduated,09/02/2017,UX,Online,Enrolled in Additional Training,05/08/2017,Bite Squad,Junior Developer,29.58,,,,
T-42,7,Male,1966,Yes,HS/GED,Eden Prairie,Yes,Representative,12.91,30/08/2017,Withdrew,10/01/2018,IT Fundamentals,Classroom,Enrolled in Additional Training,08/05/2018,Bind Benefits,Temp Developer,25.76,22/04/2019,Branch Messenger,Temp Designer,31.08
T-52,7,Unreported,1969,Yes,HS/GED,Plymouth,Yes,Employee,12.47,21/07/2017,Graduated,23/03/2018,UX,Classroom,Entered Employment,05/07/2018,Bright Health,Temp Designer,28.06,,,,
T-64,7,Other,1985,No,Some College,Minneapolis,No,Representative,13.44,12/12/2015,Graduated,05/08/2016,UX,Classroom,Entered Employment,07/07/2017,Code 42,Junior Designer,26.51,,,,
T-85,7,Male,1951,Yes,Bachelors,Edina,No,Employee,14.00,22/03/2016,Graduated,19/05/2016,QA,Classroom,Entered Employment,15/06/2016,Bright Health,Programmer,25.77,,,,
T-108,7,Female,1999,No,Associates,Eden Prairie,No,Support,10.71,03/12/2017,Graduated,06/07/2018,UX,Classroom,Entered Employment,10/11/2018,Merrill Corporation,Junior Designer,29.82,28/02/2019,Nerdery,Temp Developer,29.60
T-110,7,Male,1979,No,HS/GED,Plymouth,Yes,Team Member,14.32,09/11/2015,Graduated,27/05/2016,IT Fundamentals,Online,Entered Employment,26/01/2017,Nerdery,Developer,24.38,,,,
T-112,7,Male,1983,No,HS/GED,Roseville,Yes,Support,15.05,09/05/2017,Withdrew,02/01/2018,QA,Online,Entered Employment,,,,,,,,
T-122,7,Female,1958,No,Graduate and Beyond,Minneapolis,No,Manager,9.69,25/12/2016,Graduated,07/06/2017,IT Fundamentals,Classroom,Enrolled in Additional Training,24/01/2018,Branch Messenger,Designer,28.38,,,,
T-126,7,Other,1999,No,Some College,St. Paul,No,Associate,12.40,31/07/2017,Graduated,09/12/2017,IT Fundamentals,Classroom,Health/Medical,05/08/2018,Foodsby,Project Manager,28.47,,,,
T-129,7,Male,1963,No,Bachelors,St. Paul,Yes,Team Member,14.01,31/07/2016,Graduated,02/04/2017,QA,Classroom,Entered Employment,22/09/2017,Aftercode,Junior Developer,27.05,,,,
T-137,7,Male,1965,Unreported,Some College,St. Paul,No,Associate,14.74,24/06/2017,Graduated,27/08/2017,IT Fundamentals,Classroom,Entered Military,09/09/2017,Merrill Corporation,Developer,30.05,,,,
T-145,7,Female,1972,No,Some College,Roseville,No,Support,9.37,07/05/2015,Graduated,11/01/2016,QA,Classroom,Health/Medical,01/01/2017,Google,Temp Developer,25.39,,,,
T-147,7,Male,1953,Yes,Some College,Robbinsdale,No,Contractor,12.48,23/03/2016,Graduated,01/06/2016,IT Fundamentals,Classroom,Entered Employment,10/10/2016,Code 42,Programmer,24.94,,,,
T-152,7,Male,1985,No,Associates,St. Paul,No,Representative,10.30,29/07/2017,Graduated,26/11/2017,UX,Classroom,Entered Employment,20/11/2018,Bright Health,Junior Developer,24.20,,,,
T-153,7,Male,1973,No,Bachelors,Robbinsdale,Yes,Contractor,14.59,21/04/2017,Graduated,09/01/2018,QA,Classroom,Institutionalized,24/01/2019,Code 42,Junior Engineer,29.59,,,,
T-159,7,Female,1996,Yes,Associates,Minneapolis,Yes,Employee,13.26,19/02/2017,Graduated,03/09/2017,QA,Online,Entered Employment,19/07/2018,Nerdery,Programmer,24.54,,,,
T-185,7,Female,1993,No,Bachelors,St. Paul,No,Contractor,15.96,01/06/2016,Graduated,26/11/2016,IT Fundamentals,Online,Enrolled in Additional Training,28/12/2017,Apple,Temp Designer,28.86,20/03/2018,Microsoft,Programmer,30.12
T-197,7,Male,1984,Yes,Some College,Minneapolis,Yes,Cashier,11.63,05/09/2017,Graduated,10/03/2018,IT Fundamentals,Online,Entered Employment,19/07/2018,Merrill Corporation,Web Developer,28.95,,,,
T-219,7,Male,1965,Unreported,Some College,Brooklyn Center,Yes,,,01/10/2016,Graduated,18/05/2017,QA,Classroom,Entered Military,27/08/2017,Microsoft,Project Manager,30.50,,,,
T-221,7,Female,1967,No,Associates,Robbinsdale,No,Team Member,11.07,11/12/2016,Graduated,02/05/2017,UX,Classroom,Entered Employment,09/02/2018,Foodsby,Designer,26.82,,,,
