Person ID,Partner ID,Gender,Birth Year,Person of Color,Education Level,City of Residence,MSP TechHire Scholarship,Previous Job Title,Pre-training Wage (hourly),Entered Training Date,Training Status,Exit Training Date,Training Type,Classroom or Online,Exit Status,Job Placement Date,Hiring Company,Hiring Job Title,Wage at Initial Hire (hourly),2nd Job Placement Date,2nd Job Company,2nd Job Title,2nd Hire Wage
Y-1,1,Male,1997,Yes,HS/GED,Robbinsdale,Yes,Associate,11.99,26/10/2017,Graduated,16/07/2018,QA,Online,Entered Employment,,,,,,,,
Y-2,1,Male,1974,Unreported,Some College,Eden Prairie,No,,,28/01/2017,Graduated,08/10/2017,QA,Online,Health/Medical,17/07/2018,Great North Labs,Junior Engineer,25.77,28/12/2018,Bright Health,Web Developer,26.49
Y-10,1,Male,1972,No,Some College,Minneapolis,No,Cashier,14.01,17/01/2015,Graduated,07/03/2015,UX,Online,Entered Employment,03/11/2015,Code 42,Programmer,30.51,,,,
Y-29,1,Male,1969,No,Some College,Roseville,No,Manager,9.24,13/09/2015,Graduated,20/05/2016,UX,Online,Entered Employment,13/11/2016,Merrill Corporation,Junior Developer,29.29,,,,
Y-39,1,Male,1972,Unreported,Associates,Roseville,Yes,Employee,10.33,30/05/2017,Graduated,07/11/2017,IT Fundamentals,Online,Entered Military,13/04/2018,Branch Messenger,Developer,26.46,,,,
Y-48,1,Unreported,1951,Yes,Some College,Robbinsdale,Yes,Contractor,10.25,01/02/2017,Removed,12/05/2017,QA,Online,Entered Employment,01/12/2017,Great North Labs,Temp Developer,26.13,,,,
Y-49,1,Male,1998,No,Associates,Robbinsdale,Yes,Representative,12.17,09/12/2017,Graduated,11/07/2018,QA,Classroom,Entered Employment,02/05/2019,Upsie,Junior Developer,28.17,,,,
Y-53,1,Male,1974,Yes,Associates,Robbinsdale,No,Cashier,12.56,12/02/2016,Graduated,20/04/2016,UX,Classroom,Health/Medical,20/09/2016,Aftercode,Junior Engineer,29.22,13/09/2017,Apple,Designer,25.28
Y-55,1,Male,1983,Unreported,Graduate and Beyond,Edina,Yes,Associate,14.45,30/10/2017,Graduated,04/06/2018,QA,Classroom,Entered Employment,06/02/2019,Code 42,Temp Designer,30.52,,,,
Y-56,1,Male,1994,Yes,Associates,Edina,No,Manager,10.42,13/05/2017,Removed,06/11/2017,UX,Classroom,Entered Employment,06/04/2018,Osborn 370,Developer,25.56,,,,
Y-63,1,Female,1959,Unreported,Some College,Minneapolis,No,Team Member,12.07,15/10/2015,Graduated,25/07/2016,UX,Online,Entered Employment,08/10/2016,Bright Health,Temp Designer,24.32,,,,
Y-65,1,Female,1953,No,Bachelors,St. Paul,No,Associate,10.28,14/07/2015,Graduated,24/10/2015,UX,Online,Entered Employment,02/02/2016,Merrill Corporation,Temp Designer,25.62,,,,
Y-67,1,Female,1970,No,Graduate and Beyond,Robbinsdale,Yes,Representative,13.10,28/11/2016,Graduated,16/05/2017,IT Fundamentals,Classroom,Institutionalized,10/06/2017,Merrill Corporation,Designer,30.86,13/04/2018,Loup Ventures,Temp Developer,26.28
Y-72,1,Other,1964,Unreported,Graduate and Beyond,Plymouth,No,Temp,9.24,01/01/2017,Graduated,12/05/2017,IT Fundamentals,Classroom,Entered Employment,27/11/2017,Merrill Corporation,Developer,27.37,,,,
Y-74,1,Male,1988,Unreported,Bachelors,Edina,No,Employee,13.69,14/01/2015,Graduated,05/04/2015,IT Fundamentals,Online,Health/Medical,07/12/2015,Loup Ventures,Junior Engineer,26.01,,,,
Y-81,1,Male,1969,Unreported,HS/GED,St. Paul,Yes,Supervisor,12.47,28/10/2017,Graduated,06/06/2018,IT Fundamentals,Online,Entered Employment,03/04/2019,Microsoft,Project Manager,25.54,,,,
Y-86,1,Female,1995,No,HS/GED,Plymouth,No,,,01/02/2016,Graduated,19/07/2016,QA,Classroom,Entered Employment,10/08/2016,Loup Ventures,Junior Developer,30.19,,,,
Y-89,1,Female,1961,Yes,HS/GED,St. Paul,Yes,Employee,9.39,03/03/2016,Removed,15/12/2016,UX,Classroom,Health/Medical,20/03/2017,Bind Benefits,Project Manager,28.90,08/07/2017,Code 42,Junior Engineer,24.77
Y-94,1,Male,1989,No,Some College,Plymouth,No,Associate,11.54,27/09/2015,Graduated,08/12/2015,UX,Classroom,Entered Employment,02/04/2016,Google,IT Support,31.36,,,,
Y-98,1,Male,1985,No,Some College,Minneapolis,No,Temp,12.08,23/06/2017,Removed,18/01/2018,IT Fundamentals,Online,Entered Employment,07/05/2018,Bright Health,Designer,26.13,,,,
Y-99,1,Female,1955,No,Associates,Minneapolis,Yes,Employee,15.89,24/10/2015,Graduated,10/04/2016,QA,Online,Entered Employment,05/07/2016,Osborn 370,Temp Developer,30.96,,,,
